PMRP ID	eMERGE ID	Ext_ID
136986	16222400	89548
126976	16225704	89544
117853	16228735	89541
125089	16226367	89540
127909	16225363	89520
120989	16227657	89519
121836	16227332	89517
134291	16223267	89515
126601	16225839	89511
130658	16224491	89505
145464	16219608	89504
124570	16226437	89499
125866	16226072	89489
123135	16226950	89486
141687	16220905	89484
137367	16222271	89482
143880	16220136	89481
131435	16224198	89474
128500	16225168	89473
143937	16220109	89472
126688	16225808	89469
120917	16227745	89468
122943	16227019	89465
130358	16224645	89462
135049	16222994	89454
141795	16220809	89452
150734	16217856	89451
139256	16221641	89450
129167	16224961	89447
145323	16219632	89443
107180	16232273	89440
132512	16223907	89438
141837	16220827	89436
140940	16221142	89433
107990	16231969	89429
117616	16228734	89427
128921	16225061	89421
137601	16222191	89418
110394	16231210	89417
156844	16215865	89414
120737	16227754	89406
131123	16224333	89402
109647	16231427	89397
119113	16228269	89396
138911	16221822	89394
120611	16227824	89393
109209	16231645	89391
124413	16226509	89389
120665	16227823	89388
137809	16222128	89384
132344	16223955	89374
157598	16215616	89369
109305	16231576	89367
144693	16219813	89361
126712	16225809	89358
110313	16231263	89353
134745	16223092	89350
108669	16231817	89347
124251	16226632	89345
118525	16228523	89342
124861	16226430	89339
127207	16225676	89337
108161	16231968	89334
114649	16229780	89959
114814	16229769	89986
117115	16228963	89999
116788	16229105	89930
111858	16230765	89919
114550	16229827	89914
113394	16230191	89861
114151	16229984	89848
116395	16229227	89847
116104	16229297	89836
111903	16230649	89828
116662	16229078	89797
115333	16229620	89784
112305	16230571	89781
114088	16230049	89754
113697	16230121	89718
116824	16229083	89708
112161	16230621	89691
113926	16229989	89669
113836	16230107	89666
116443	16229161	89656
114007	16230045	89643
112260	16230570	89629
113433	16230187	89585
111945	16230643	89580
115816	16229410	89532
115279	16229569	89529
113226	16230250	89510
112008	16230652	89506
115243	16229568	89455
115252	16229560	89453
115405	16229480	89425
115669	16229461	89379
114139	16229928	89378
115408	16229556	89360
129746	16224813	90064
124966	16226377	90065
125005	16226322	90066
117454	16228862	90067
136319	16222616	90070
112374	16230529	90073
145515	16219597	90074
104537	16233171	90075
127963	16225378	90076
130010	16224665	90077
120959	16227665	90081
114205	16229933	90086
131894	16224149	90087
115855	16229385	90090
114625	16229790	90091
109005	16231667	90092
132575	16223899	90096
134150	16223348	90098
143934	16220092	90099
138947	16221752	90100
121640	16227465	90102
137736	16222134	90103
119594	16228144	90104
119356	16228253	90112
125830	16226104	90114
146306	16219300	90115
123993	16226724	90116
112611	16230457	90119
115264	16229610	90120
157675	16215594	90122
105784	16232730	90124
135109	16223019	90126
130355	16224602	90128
133535	16223558	90129
111591	16230783	90131
100785	16234367	90132
108398	16231863	90133
118270	16228536	90135
100791	16234368	90136
144003	16220093	90137
124573	16226446	90138
111762	16230725	90140
113806	16230061	90141
122157	16227278	90149
118717	16228422	90152
155920	16216171	90155
100590	16234445	90157
108317	16231919	90158
105871	16232688	90159
110475	16231204	90162
146007	16219426	90170
118576	16228484	90173
141171	16221016	90174
118318	16228537	90175
112404	16230530	90177
120308	16227896	90178
126985	16225685	90179
120881	16227725	90181
131582	16224230	90184
140967	16221110	90186
102439	16233852	90187
132668	16223826	90190
105032	16232962	90194
117274	16228888	90197
132314	16223962	90198
138698	16221830	90200
139682	16221522	90204
131732	16224124	90206
117643	16228796	90208
103976	16233329	90210
139376	16221626	90211
144525	16219919	90212
138316	16221974	90214
120029	16228012	90220
130787	16224472	90221
124185	16226609	90222
115903	16229334	90223
149504	16218244	90224
117004	16229017	90225
112101	16230664	90226
119579	16228134	90231
112164	16230581	90233
123195	16226952	90234
110418	16231205	90236
148345	16218666	90238
111930	16230665	90240
116356	16229170	90241
137830	16222142	90245
146960	16219117	90248
135388	16222933	90252
107462	16232207	90258
139931	16221450	90262
102862	16233711	90265
120344	16227905	90266
119906	16228072	90271
112158	16230629	90272
127744	16225451	90276
147695	16218848	90278
124050	16226731	90279
125344	16226284	90281
134087	16223362	90283
117736	16228800	90284
109611	16231446	90287
111564	16230831	90290
100827	16234369	90291
129293	16224930	90294
124302	16226611	90297
126847	16225754	90298
140874	16221112	90299
128326	16225263	90300
121136	16227609	90301
131618	16224193	90302
131816	16224145	90305
120953	16227696	90307
113208	16230276	90309
100758	16234407	90312
144174	16220034	90313
118117	16228620	90314
104906	16232991	90316
147362	16218985	90318
107594	16232102	90320
157741	16215573	90322
130418	16224560	90325
140883	16221118	90326
112755	16230397	90327
123516	16226874	90329
113610	16230125	90331
138481	16221970	90334
150014	16218099	90336
116704	16229100	90338
117244	16228906	90345
104777	16233038	90352
134009	16223364	90354
113854	16230065	90355
141057	16221077	90358
113175	16230277	90359
110283	16231224	90364
114199	16229947	90369
109959	16231335	90371
127003	16225713	90372
145614	16219554	90373
126078	16226018	90376
109545	16231480	90379
109620	16231481	90380
151136	16217726	90382
120287	16227901	90383
111327	16230857	90385
120104	16227994	90387
128843	16225095	90389
143160	16220371	90391
113749	16230095	90392
150986	16217778	90395
137556	16222208	90396
147975	16218794	90398
115003	16229657	90400
125794	16226139	90401
113619	16230153	90406
138217	16221996	90407
139640	16221513	90411
135433	16222945	90412
109347	16231560	90414
111414	16230879	90415
104759	16233094	90416
129245	16225003	90418
142188	16220690	90419
123624	16226826	90420
146972	16219087	90421
131624	16224167	90422
128314	16225259	90423
136475	16222581	90424
136701	16222510	90426
117334	16228925	90427
150755	16217850	90429
150056	16218048	90432
149795	16218133	90433
107783	16232052	90434
111228	16230947	90438
109419	16231561	90443
141870	16220794	90447
127354	16225647	90448
118960	16228368	90449
131645	16224169	90451
144102	16220051	90454
104669	16233096	90455
141432	16220963	90456
146840	16219138	90457
135673	16222837	90461
132980	16223703	90463
131345	16224263	90464
138995	16221758	90466
104426	16233155	90475
130022	16224705	90476
109650	16231461	90477
129212	16224997	90478
139052	16221735	90479
131585	16224269	90481
122007	16227390	90482
126628	16225830	90484
140493	16221209	90486
111567	16230807	90487
123858	16226777	90488
101196	16234232	90492
119558	16228165	90496
115684	16229452	90497
143463	16220248	90500
108606	16231796	90502
143100	16220373	90504
109830	16231385	90505
137559	16222215	90506
146891	16219140	90507
133970	16223381	90508
125407	16226188	90512
143382	16220284	90514
104996	16233014	90517
149072	16218397	90519
114787	16229727	90521
122115	16227293	90523
128795	16225146	90524
117733	16228774	90525
145773	16219508	90527
109038	16231680	90529
140126	16221403	90535
129986	16224714	90540
134582	16223183	90542
146660	16219201	90543
111867	16230752	90544
112155	16230595	90545
132368	16223918	90546
105697	16232787	90548
134781	16223146	90549
162759	16233123	90550
138944	16221761	90552
131078	16224357	90554
104576	16233118	90563
102135	16233928	90568
115246	16229603	90569
124227	16226568	90571
118216	16228660	90575
140225	16221394	90576
120176	16227995	90579
104984	16233016	90580
159800	16214893	90581
131048	16224359	90584
141081	16221040	90585
123864	16226646	90586
146729	16219179	90588
120467	16227865	90589
138695	16221840	90592
128305	16225246	90595
126223	16225937	90596
105838	16232749	90599
125368	16226259	90600
139523	16221591	90601
133439	16223610	90603
140565	16221214	90604
118798	16228456	90605
127165	16225655	90606
124645	16226489	90607
124059	16226664	90609
110595	16231106	90610
140072	16221395	90611
137190	16222358	90613
128242	16225298	90615
123762	16226651	90618
112377	16230559	90619
149117	16218387	90621
141723	16220837	90622
126829	16225730	90623
147536	16218925	90626
117163	16228996	90627
112683	16230495	90631
132293	16223928	90632
152077	16217418	90636
118084	16228656	90639
139478	16221592	90641
105589	16232788	90642
143106	16220388	90643
144975	16219764	90645
110763	16231055	90646
101311	16234201	90648
107624	16232135	90649
116821	16229139	90651
131972	16224072	90652
148709	16218538	90654
117697	16228778	90659
122784	16227079	90660
107189	16232254	90662
135145	16223045	90663
107777	16232044	90664
131219	16224312	90668
114193	16229965	90671
126244	16225938	90674
104498	16233148	90675
125440	16226205	90676
132965	16223707	90677
139184	16221707	90678
150281	16218018	90679
120434	16227867	90680
104717	16233099	90682
116980	16229060	90683
121592	16227478	90684
116653	16229150	90685
100809	16234364	90687
123456	16226853	90691
117586	16228838	90695
111291	16230889	90697
120962	16227686	90700
101193	16234236	90702
120767	16227807	90704
137821	16222165	90706
112386	16230563	90707
112542	16230493	90709
150746	16217867	90710
131549	16224274	90711
130901	16224428	90713
142743	16220536	90718
133787	16223472	90719
118105	16228662	90721
149780	16218146	90726
111189	16230958	90729
113938	16230037	90730
129587	16224844	90732
147338	16218959	90733
106543	16232462	90734
100677	16234426	90735
148012	16218732	90736
139469	16221593	90737
130505	16224542	90739
105937	16232682	90740
147062	16219047	90741
149423	16218303	90742
104180	16233287	90743
122484	16227228	90745
130121	16224722	90747
107435	16232181	90754
116026	16229369	90756
113484	16230246	90759
129230	16224991	90762
130088	16224723	90763
134982	16223065	90764
107420	16232176	90766
114196	16229967	90767
138343	16221930	90768
108029	16232000	90770
112545	16230497	90778
145428	16219617	90779
131156	16224356	90781
115507	16229540	90782
141348	16220967	90783
152233	16217325	90784
119717	16228120	90785
130037	16224724	90787
127654	16225518	90789
148808	16218475	90790
136773	16222464	90792
144111	16220055	90793
141291	16220999	90794
108278	16231890	90795
119497	16228235	90798
117910	16228725	90800
124398	16226573	90802
140234	16221396	90803
122139	16227306	90805
110244	16231261	90806
138791	16221807	90810
142923	16220436	90811
112650	16230494	90818
115930	16229377	90819
119897	16228121	90823
129926	16224766	90826
113196	16230308	90827
111669	16230815	90828
139568	16221554	90831
114904	16229743	90835
143385	16220283	90837
135628	16222853	90844
115549	16229554	90845
136553	16222543	90846
102057	16233967	90848
125398	16226200	90849
148666	16218560	90851
134751	16223134	90853
111543	16230804	90855
129527	16224876	90856
143907	16220121	90857
125233	16226256	90858
134546	16223240	90864
108122	16231963	90865
117337	16228937	90867
145311	16219682	90870
146723	16219177	90871
132146	16224028	90872
108170	16231964	90875
130223	16224635	90876
118729	16228463	90877
151064	16217721	90880
128642	16225212	90881
149981	16218110	90885
130112	16224672	90891
107171	16232263	90892
129326	16224932	90894
127438	16225624	90895
122622	16227145	90896
121394	16227541	90897
104111	16233276	90898
127987	16225426	90899
105068	16232964	90900
147758	16218850	90902
131459	16224241	90904
147719	16218851	90905
138031	16222062	90906
137965	16222102	90907
139550	16221566	90909
141072	16221035	90910
109371	16231543	90913
144276	16219985	90914
103081	16233609	90915
115057	16229670	90918
135021	16223076	90919
109440	16231544	90920
120218	16227974	90921
138178	16222023	90924
128452	16225271	90925
118633	16228476	90926
115012	16229671	90927
151454	16217602	90930
110721	16231130	90931
102514	16233818	90932
131753	16224127	90933
114106	16229950	90936
157912	16215515	90938
110532	16231168	90939
124777	16226464	90940
111357	16230859	90941
135030	16223077	90945
120560	16227836	90946
116095	16229253	90948
126622	16225847	90949
125971	16226032	90950
147647	16218877	90951
106561	16232459	90953
108705	16231784	90954
128774	16225130	90960
132059	16224039	90961
148826	16218502	90962
130406	16224565	90964
136499	16222569	90965
112557	16230460	90966
149519	16218247	90970
140117	16221365	90971
149948	16218185	90972
128582	16225192	90974
110109	16231291	90975
144963	16219786	90976
129551	16224905	90978
122961	16227053	90980
132317	16223939	90981
119161	16228314	90985
114631	16229807	90990
111690	16230788	90995
104888	16233052	90996
138019	16222065	90998
142332	16220648	91000
128825	16225131	91001
132992	16223748	91004
106537	16232469	91005
121998	16227383	91007
128867	16225084	91009
115072	16229628	91013
127536	16225506	91015
134207	16223322	91016
128972	16225085	91018
128221	16225314	91019
139373	16221613	91021
131672	16224184	91026
129698	16224793	91029
109590	16231448	91030
129773	16224789	91032
150713	16217866	91033
124086	16226744	91035
119723	16228085	91037
116785	16229118	91042
128660	16225132	91043
148303	16218648	91044
123129	16226978	91045
104726	16233089	91046
148994	16218459	91047
147707	16218857	91049
126217	16225928	91052
110631	16231135	91053
128419	16225274	91055
105955	16232678	91056
111180	16230942	91063
134348	16223271	91067
103090	16233620	91069
111522	16230797	91070
112524	16230533	91071
118201	16228649	91075
124224	16226592	91076
105149	16232929	91077
119257	16228218	91080
149735	16218123	91081
149903	16218117	91082
108702	16231792	91086
106672	16232440	91104
106012	16232660	91108
143829	16220154	91109
127762	16225464	91113
146022	16219412	91114
111336	16230870	91115
138956	16221755	91118
121241	16227628	91122
150242	16218030	91124
128579	16225202	91125
128200	16225319	91126
127720	16225435	91128
120368	16227920	91129
129980	16224749	91131
136337	16222622	91132
107972	16231985	91134
109911	16231340	91135
108909	16231761	91136
134799	16223119	91137
112035	16230687	91139
109950	16231346	91140
118129	16228650	91141
148162	16218736	91147
153507	16216950	91149
129065	16225047	91150
150047	16218093	91152
108924	16231735	91153
126057	16225981	91154
120914	16227711	91158
113613	16230147	91159
117277	16228919	91163
110937	16231010	91164
127506	16225504	91165
133766	16223458	91167
125230	16226294	91168
119708	16228082	91169
142821	16220424	91171
114754	16229719	91173
130046	16224692	91177
138842	16221794	91179
115891	16229352	91181
135722	16222834	91186
132908	16223786	91188
123975	16226747	91189
107087	16232305	91190
141285	16220979	91192
127912	16225423	91195
102409	16233838	91197
133340	16223638	91199
112713	16230481	91200
107252	16232226	91202
126592	16225827	91204
154761	16216548	91206
107342	16232218	91207
147966	16218770	91208
129518	16224907	91209
133136	16223639	91212
137977	16222093	91213
115024	16229650	91214
137899	16222092	91219
100908	16234343	91222
121172	16227633	91223
120965	16227672	91224
141501	16220911	91225
104435	16233178	91226
141930	16220764	91228
137974	16222118	91230
128891	16225088	91233
131789	16224086	91234
120719	16227783	91235
113679	16230150	91241
114958	16229652	91244
122046	16227385	91247
134564	16223219	91249
146483	16219289	91250
153089	16217083	91252
110637	16231119	91254
106615	16232466	91255
106240	16232582	91256
145509	16219572	91258
123114	16226974	91259
127204	16225635	91261
103853	16233376	91262
110772	16231090	91263
137941	16222120	91265
135538	16222896	91266
114778	16229712	91269
121721	16227432	91271
104003	16233312	91274
130154	16224694	91276
114259	16229955	91277
111399	16230877	91279
118234	16228548	91281
112278	16230589	91282
135634	16222850	91284
115414	16229516	91286
142113	16220727	91290
129581	16224858	91293
107399	16232190	91295
145518	16219569	91296
108413	16231859	91297
147923	16218781	91299
138611	16221887	91303
133556	16223514	91305
122364	16227209	91308
107035	16232299	91311
148141	16218723	91312
150905	16217821	91313
142185	16220688	91314
134727	16223140	91315
109704	16231487	91316
142554	16220574	91317
127990	16225424	91318
101253	16234251	91319
107513	16232161	91320
140556	16221223	91322
116149	16229267	91324
110592	16231120	91325
136785	16222481	91326
120533	16227859	91327
147125	16219058	91328
114409	16229883	91329
124855	16226413	91331
115501	16229518	91333
131453	16224248	91335
138493	16221913	91338
138554	16221914	91339
102394	16233840	91348
115396	16229524	91349
103087	16233618	91350
142200	16220686	91353
109461	16231557	91354
115633	16229427	91358
110829	16231059	91360
109200	16231626	91361
111321	16230868	91363
157355	16215695	91364
116377	16229198	91367
106657	16232438	91368
115210	16229575	91369
109872	16231393	91371
131978	16224061	91372
122595	16227142	91376
122727	16227151	91378
135860	16222785	91380
108993	16231689	91384
104162	16233280	91385
127978	16225389	91388
122913	16227036	91390
125716	16226119	91391
112578	16230486	91394
110274	16231236	91395
143286	16220331	91399
107657	16232131	91404
119693	16228155	91407
140913	16221132	91410
137989	16222096	91412
114865	16229715	91413
137199	16222338	91414
134090	16223384	91416
120590	16227787	91418
150941	16217790	91421
122658	16227144	91423
