PMRP ID	eMERGE ID	Ext_ID
146564	16219246	89340
105952	16232671	89346
100560	16234464	89349
148937	16218467	89364
149075	16218418	89382
102895	16233689	89385
103240	16233589	89387
147662	16218869	89392
149258	16218416	89404
149987	16218112	89424
105095	16232944	89430
105098	16232946	89434
102243	16233921	89446
101452	16234148	89456
148522	16218591	89460
101022	16234284	89461
145602	16219558	89483
150050	16218088	89495
148192	16218686	89503
148240	16218670	89513
150035	16218090	89523
148039	16218745	89526
102751	16233693	89530
104204	16233246	89535
147818	16218832	89536
100953	16234345	89601
147722	16218841	89646
101611	16234094	89648
103216	16233580	89661
102132	16233926	89662
103871	16233383	89672
101723	16234085	89675
149918	16218156	89679
104744	16233070	89685
147833	16218831	89695
147680	16218891	89722
105727	16232723	89741
147740	16218837	89747
148784	16218489	89769
148991	16218436	89802
101593	16234120	89804
145950	16219443	89810
149276	16218412	89813
147008	16219084	89821
101497	16234145	89823
149318	16218413	89839
147969	16218763	89851
146171	16219390	89854
149090	16218337	89868
100743	16234402	89902
101732	16234084	89915
104972	16232994	89916
101966	16233996	89917
103612	16233446	89929
101431	16234170	89935
101362	16234182	89937
146753	16219167	89948
149396	16218294	89952
143943	16220090	89954
119143	16228277	89957
125197	16226282	89958
128152	16225339	89953
119473	16228210	89961
109458	16231532	89963
105841	16232676	89966
107711	16232103	89967
145344	16219636	89970
145575	16219601	89976
156457	16215995	89977
111513	16230782	89981
138115	16222009	89983
144372	16219973	89984
117946	16228692	89985
125029	16226362	89946
125458	16226213	89988
147875	16218801	89991
105508	16232808	89992
119416	16228247	89996
129929	16224737	89945
131735	16224141	90001
152597	16217245	90002
139088	16221723	90005
124221	16226627	90006
107762	16232082	90007
121655	16227515	90009
122283	16227275	90010
150161	16218082	90012
107501	16232202	90013
108128	16231937	90017
101377	16234178	90020
136214	16222644	90021
135938	16222749	90025
147305	16219004	90026
144912	16219790	90027
108963	16231656	90030
103591	16233448	90031
142365	16220614	90034
143712	16220177	90036
110550	16231203	90038
131576	16224226	90039
150305	16218001	90041
133007	16223728	90042
109512	16231484	90043
141513	16220923	90044
104438	16233144	90046
140339	16221293	90048
109668	16231442	90050
108071	16232022	90053
125863	16226071	90057
109344	16231539	90059
147506	16218937	90060
124582	16226444	89943
111405	16230904	89942
118615	16228509	89941
107402	16232201	89940
127225	16225581	89934
120290	16227892	89932
127518	16225492	89931
141303	16220978	89925
157687	16215590	89924
136235	16222646	89923
126180	16226019	89920
111258	16230920	89918
143295	16220325	89909
159361	16215035	89905
106573	16232454	89903
111306	16230903	89901
133127	16223625	89900
133712	16223550	89896
129899	16224774	89895
107675	16232098	89894
120335	16227890	89893
126760	16225787	89892
120362	16227891	89889
134492	16223249	89888
138743	16221850	89884
152663	16217217	89883
140411	16221292	89880
132320	16223945	89879
136635	16222535	89875
144843	16219796	89874
120851	16227750	89864
127444	16225576	89863
135052	16223015	89856
124044	16226696	89853
117577	16228869	89852
140252	16221337	89846
127714	16225480	89845
121454	16227563	89837
137037	16222397	89834
145401	16219607	89829
137304	16222286	89822
140333	16221291	89820
106636	16232421	89819
141420	16220944	89817
138358	16221896	89816
145104	16219727	89814
130151	16224681	89812
142059	16220698	89811
126910	16225723	89808
141555	16220859	89805
121493	16227574	89800
155614	16216270	89798
143916	16220116	89796
134372	16223263	89795
158008	16215486	89792
118210	16228638	89791
118738	16228428	89790
124293	16226622	89788
143976	16220104	89787
129188	16224960	89782
141309	16220975	89780
123507	16226831	89772
143778	16220191	89767
157873	16215520	89766
106972	16232362	89764
131174	16224337	89761
109212	16231608	89760
111141	16230930	89757
126850	16225722	89756
133745	16223443	89755
129047	16225024	89753
121076	16227690	89750
122373	16227183	89744
128714	16225113	89742
130187	16224679	89740
119494	16228181	89739
121547	16227460	89738
111192	16230916	89734
142596	16220543	89733
109479	16231518	89731
132281	16223944	89728
127183	16225563	89725
122883	16227103	89719
107615	16232111	89717
121769	16227427	89715
135184	16222999	89714
128050	16225368	89712
117541	16228853	89709
144609	16219869	89706
122586	16227174	89705
134600	16223195	89700
139943	16221445	89689
134480	16223244	89684
138536	16221942	89683
120269	16227883	89682
130994	16224382	89678
138499	16221966	89674
145371	16219633	89671
138890	16221775	89668
124834	16226386	89667
121004	16227660	89665
132524	16223904	89655
128203	16225296	89652
119158	16228297	89651
124095	16226679	89649
139964	16221422	89647
135737	16222796	89637
110781	16231091	89636
108227	16231933	89632
117550	16228822	89630
139247	16221644	89625
156610	16215942	89624
143871	16220114	89623
108789	16231703	89621
130496	16224594	89620
133601	16223543	89619
158195	16215424	89617
131852	16224077	89616
121043	16227659	89615
131612	16224188	89614
129611	16224833	89608
130013	16224675	89604
141492	16220907	89598
118168	16228614	89596
143811	16220162	89593
124401	16226616	89588
127375	16225557	89587
106750	16232399	89584
118780	16228415	89582
131015	16224380	89581
124254	16226560	89579
137376	16222274	89577
110634	16231096	89575
133928	16223413	89570
132686	16223809	89569
119774	16228046	89566
107834	16232087	89557
127723	16225432	89556
138505	16221948	89555
