EXOME_PHASE1_ID	EXOME_PHASE2_FULL_ID	SCH10411_ESID
MC.AMD104289@0123889962	1747307-1-0238040433	90257
MC.AMD103577@0123861211	1664440-1-0238061872	90173
MC.AMD103542@0123910254	1660580-1-0238038929	90171
MC.AMD111071@0123889526	2476472-1-0224008277	90960
MC.AMD104756@0123908301	1808662-1-0238094944	90305
MC.AMD104708@0123861129	1802954-1-0238038422	90302
MC.156620@1075642223	2574951-1-0238040454	91058
MC.AMD103965@0123908787	1722974-1-0238040717	90225
MC.AMD119418@0123907418	1074329-1-0224009304	89615
MC.AMD127197@0123908973	1923247-1-0238039376	90424
MC.AMD101598@0124009915	1421477-1-0238061483	89940
MC.AMD126754@0124010946	1895564-1-0238041296	90380
MC.AMD114599@0124010019	2886838-1-0238041220	91329
MC.AMD103980@0123907270	1724388-1-0238096105	90226
MC.AMD108169@0124008462	2179791-1-0238039685	90671
MC.AMD103993@0124014834	1726881-1-0238094159	90229
MC.AMD137606@0124015114	2143729-1-0238060604	90632
MC.AMD100321@0123909882	1312799-1-0238041085	89839
MC.AMD105795@0123911299	1919171-1-0238039161	90419
MC.AMD114738@0124011147	2893546-1-0238040819	91339
MC.AMD101277@0123861520	1393288-1-0224008803	89910
MC.AMD106868@0123889995	2044417-1-0238040567	90540
MC.AMD102133@0123861512	1494088-1-0238094582	90003
MC.AMD120509@0123860967	1184211-1-0238040301	89712
MC.AMD104004@0124011313	1727728-1-0238042791	90231
MC.AMD112289@0124010089	2608402-1-0238039809	91089
MC.AMD102862@0123910932	1575943-1-0238038988	90075
MC.AMD107815@0123860996	2148601-1-0238096516	90641
MC.AMD110811@0124014907	2454214-1-0238096948	90937
MC.156238@1075680101	2325845-1-0238038372	90804
MC.AMD134947@0124009833	2742173-1-0238061579	91216
MC.AMD108522@0123861675	2227289-1-0238096477	90707
MC.AMD106394@0123910194	1983094-1-0224009283	90478
MC.AMD102452@0123908936	1528235-1-0238041032	90030
MC.AMD136986@0123890681	1193-1-0238042558	89525
MC.AMD116613@0124014904	2733088-1-0238062081	91208
MC.AMD107097@0123911444	2067276-1-0238061391	90562
MC.AMD118423@0123908915	1184-1-0238094104	89516
MC.AMD108752@0124010990	2266695-1-0238096023	90738
MC.AMD110268@0123908876	2401350-1-0238040055	90884
MC.AMD137516@0124015177	1971838-1-0238096429	90468
MC.AMD122137@0123911400	1355560-1-0238042915	89873
MC.AMD125796@0123911355	1768884-1-0238095226	90273
MC.AMD113270@0124011424	2712865-1-0238040337	91187
MC.155571@1075679012	1763814-1-0238039465	90268
MC.AMD112820@0123890260	2662558-1-0238040849	91138
MC.AMD101914@0123908977	1460428-1-0224009307	89972
MC.AMD115332@0124011024	2977004-1-0238095421	91404
MC.AMD133554@0123909811	2596219-1-0238042515	91077
MC.AMD122856@0124014878	1410413-1-0238095490	89930
MC.AMD137473@0123890297	1908097-1-0238094623	90397
MC.AMD102162@0123861649	1502867-1-0238041960	90007
MC.AMD113912@0123909572	2794725-1-0238040947	91255
MC.AMD105679@0123911547	1916680-1-0238062280	90411
MC.AMD135748@0123908393	2856481-1-0224008821	91299
MC.AMD137342@0123889810	1640247-1-0238040978	90145
MC.AMD121388@0124008428	1288132-1-0238095704	89811
MC.AMD103958@0123861754	1721659-1-0238042781	90224
MC.AMD104466@0123907241	1773723-1-0238041585	90276
MC.AMD114208@0123910489	2829533-1-0238096318	91281
MC.AMD137033@0123889764	1060498-1-0238094305	89602
MC.AMD105844@0123859626	1925414-1-0238039021	90425
MC.AMD117788@0123909512	1117-1-0238096575	89450
MC.AMD103216@0124011102	1624030-1-0238039384	90125
MC.AMD126448@0123910911	1846107-1-0238039694	90338
MC.AMD123485@0123859622	1492602-1-0238095971	90000
MC.156567@1075642024	2530485-1-0238038551	91020
MC.AMD103606@0124011140	1671493-1-0238062031	90177
MC.AMD110632@0123890780	2432004-1-0238041411	90917
MC.AMD135874@0123910493	2871627-1-0238042816	91313
MC.AMD102787@0124010982	1562913-1-0238041973	90067
MC.AMD104897@0123890416	1819437-1-0238040470	90317
MC.AMD121807@0123909821	1331615-1-0238061658	89853
MC.AMD115995@0123908363	1640258-1-0238095997	90146
MC.AMD106982@0123889977	2050656-1-0238096367	90548
MC.AMD124407@0123911219	1602709-1-0238039787	90097
MC.AMD101427@0123861795	1406945-1-0238039692	89924
MC.AMD135229@0123860964	2789293-1-0238061563	91250
MC.AMD112424@0123889520	2621759-1-0238041435	91106
MC.AMD120543@0124010895	1190726-1-0238095886	89719
MC.AMD119981@0123908377	1124989-1-0238039902	89669
MC.AMD114285@0123910195	2835787-1-0224009260	91288
MC.AMD137506@0123907410	1957105-1-0238039976	90457
MC.AMD137485@0123890593	1919507-1-0238062121	90420
MC.AMD103728@0123909407	1681936-1-0238041699	90191
MC.AMD129570@0123909305	2180327-1-0238096585	90672
MC.AMD105105@0124011382	1848809-1-0238039893	90342
MC.AMD111592@0123860949	2524658-1-0224008830	91010
MC.AMD117748@0123890284	1115-1-0238096403	89448
MC.AMD108507@0123890524	2224019-1-0238039223	90705
MC.AMD104078@0124010168	1731448-1-0238040970	90236
MC.AMD121172@0123909180	1271596-1-0224009272	89789
MC.AMD103195@0123911524	1622469-1-0238039227	90123
MC.154500@1075680613	1145-1-0238094943	89477
MC.AMD106743@0123911199	2030323-1-0238062122	90522
MC.AMD102427@0123861019	1527806-1-0238038384	90029
MC.156652@1075680467	2604231-1-0238095391	91085
MC.AMD100542@0124013704	1340597-1-0238096044	89859
MC.AMD107714@0123907442	2140314-1-0238095771	90629
MC.AMD130398@0123909519	2279644-1-0238042919	90755
MC.AMD108676@0124010082	2248661-1-0238095041	90728
MC.AMD105802@0123861131	1921869-1-0238039264	90422
MC.154507@1075691109	1153-1-0238095187	89485
MC.AMD111999@0123909119	2567778-1-0238038424	91052
MC.154781@1075680475	1144218-1-0238039273	89686
MC.AMD119645@0123907440	1094977-1-0238041643	89637
MC.AMD124437@0123890719	1604777-1-0238041372	90103
MC.AMD123775@0123911349	1524470-1-0238095786	90027
MC.AMD118329@0123889957	1172-1-0238038799	89504
MC.AMD103920@0124011374	1716482-1-0238039159	90221
MC.156918@1075676765	2816367-1-0238041369	91270
MC.AMD106729@0123890598	2029881-1-0238039448	90521
MC.AMD110057@0123910548	2384598-1-0238042509	90866
MC.AMD104858@0123861723	1817537-1-0238040467	90314
