EXOME_PHASE1_ID	EXOME_PHASE2_FULL_ID	SCH10411_ESID
MC.AMD126409@0124011013	1842419-1-0238038348	90332
MC.AMD119621@0123861606	1088408-1-0238039745	89631
MC.AMD137539@0123890278	2009103-1-0238060700	90504
MC.AMD117043@0123909307	1034-1-0224009506	89367
MC.AMD103710@0123909813	1681373-1-0238096908	90189
MC.AMD112997@0123908290	2690798-1-0238095028	91162
MC.AMD104719@0124011440	1803384-1-0238039820	90303
MC.AMD137652@0124014193	2219600-1-0238042432	90701
MC.AMD105146@0123890389	1854949-1-0238040027	90349
MC.AMD105017@0123890854	1838931-1-0238041603	90330
MC.AMD120913@0123911567	1219210-1-0238041280	89745
MC.AMD104264@0123909263	1745691-1-0238038022	90254
MC.AMD133103@0124011384	2535312-1-0238039617	91024
MC.AMD110391@0123861506	2411696-1-0238038420	90893
MC.AMD116146@0124011254	1914588-1-0238094108	90407
MC.AMD101615@0123861351	1425984-1-0238094215	89943
MC.AMD108054@0124010090	2164473-1-0238096407	90659
MC.AMD100989@0123889732	1370405-1-0238042746	89889
MC.AMD114237@0123911241	2833047-1-0238042336	91283
MC.AMD113983@0123890688	2805670-1-0238040966	91261
MC.AMD114890@0123911380	2921141-1-0238040928	91352
MC.AMD137568@0124014210	2056855-1-0238041207	90552
MC.AMD135881@0123907447	2872800-1-0238096874	91315
MC.AMD101908@0123889480	1459874-1-0238038167	89971
MC.AMD105195@0123911545	1868935-1-0238038378	90356
MC.156320@1075680533	2392905-1-0238062279	90874
MC.AMD107925@0123861372	2158384-1-0238096116	90651
MC.AMD116754@0123911408	1001-1-0238041095	89334
MC.AMD116927@0123911442	1022-1-0238040356	89355
MC.AMD116986@0124010096	1029-1-0238062225	89362
MC.AMD117082@0123911431	1037-1-0224008246	89370
MC.AMD117203@0123909122	1049-1-0238061654	89382
MC.AMD117214@0123890429	1050-1-0238040174	89383
MC.AMD117250@0123890632	1054-1-0238061628	89387
MC.AMD136909@0123861525	1058-1-0238062010	89391
MC.AMD117277@0123909184	1060-1-0238061987	89393
MC.154394@1075680271	1068-1-0238062199	89401
MC.AMD115537@0123909038	1074-1-0238040094	89407
MC.AMD117451@0124011219	1079-1-0238040476	89412
MC.AMD115544@0123890395	1081-1-0238040427	89414
MC.AMD117467@0123908422	1082-1-0238040809	89415
MC.154412@1075680455	1083-1-0238040835	89416
MC.AMD117793@0123861884	1118-1-0238096617	89451
MC.AMD117948@0123861380	1133-1-0238095354	89466
MC.AMD136975@0123890791	1163-1-0238095767	89495
MC.AMD136981@0123861426	1166-1-0238038181	89498
MC.AMD118303@0124011211	1169-1-0238038658	89501
MC.AMD118402@0123911674	1178-1-0238038079	89510
MC.AMD118452@0123861228	1191-1-0238094608	89523
MC.AMD118599@0123861653	2013-1-0238042970	89539
MC.AMD118681@0123890405	1005755-1-0238096382	89553
MC.AMD137004@0123890823	1012875-1-0238038269	89560
MC.AMD118724@0124011391	1012979-1-0238095512	89561
MC.154596@1075678759	1019068-1-0238041046	89566
MC.AMD118945@0124011217	1025718-1-0238039080	89573
MC.AMD119041@0123909109	1031653-1-0238040322	89579
MC.AMD115653@0123890773	1047998-1-0238096091	89592
MC.AMD119219@0123890239	1049808-1-0238060713	89593
MC.AMD115657@0123911180	1050345-1-0238062101	89595
MC.AMD119251@0123909292	1054565-1-0238061688	89598
MC.AMD137042@0124010993	1069752-1-0238040352	89610
MC.AMD137044@0123908382	1071589-1-0238096545	89611
MC.AMD119537@0124013757	1081895-1-0238095241	89622
MC.AMD119624@0123909037	1088893-1-0238062290	89632
MC.AMD137059@0123890826	1092744-1-0238041447	89635
MC.AMD119644@0124011429	1092797-1-0238094314	89636
MC.154721@1075641872	1105146-1-0238095738	89643
MC.AMD119795@0124011048	1108482-1-0238042897	89646
MC.AMD115709@0123890356	1128828-1-0224008211	89673
MC.AMD120102@0123889757	1131813-1-0238040919	89677
MC.154784@1075679040	1150575-1-0238042773	89688
MC.AMD120536@0123861040	1187322-1-0238042986	89716
MC.AMD120644@0123909805	1193884-1-0238038149	89724
MC.AMD115740@0123890332	1197335-1-0238094996	89727
MC.154843@1075678931	1199949-1-0238095097	89729
MC.AMD137140@0123889823	1231212-1-0238041356	89756
MC.AMD121082@0123911381	1258208-1-0238040331	89772
MC.AMD121117@0124011208	1260890-1-0238062003	89778
MC.AMD121164@0123890485	1270003-1-0238042464	89787
MC.AMD121265@0123911664	1277940-1-0238038806	89800
MC.AMD100033@0123861545	1290209-1-0238041782	89812
MC.AMD100073@0123907226	1292871-1-0238038124	89815
MC.154951@1075678642	1296296-1-0238096232	89818
MC.AMD121487@0124013758	1297451-1-0238040372	89820
MC.AMD100120@0124011516	1298450-1-0238042907	89821
MC.AMD100122@0123910924	1298789-1-0238061904	89822
MC.AMD100150@0123909080	1300294-1-0238061858	89825
MC.AMD100162@0123861049	1301077-1-0238038763	89826
MC.AMD100200@0123889471	1304730-1-0238096089	89829
MC.AMD100228@0123861747	1307787-1-0238095235	89833
MC.AMD100247@0123861258	1309300-1-0238061541	89835
MC.AMD100266@0124009860	1309752-1-0238040767	89836
MC.AMD100322@0123861367	1313549-1-0238096791	89840
MC.AMD100336@0123889310	1317753-1-0238095800	89843
MC.AMD121734@0123909197	1318916-1-0238038803	89845
MC.AMD121761@0124011425	1323463-1-0238040697	89848
MC.154988@1075642141	1328627-1-0238062180	89850
MC.AMD100605@0123890968	1342877-1-0238095145	89862
MC.AMD100662@0123889382	1347407-1-0238096442	89867
MC.AMD115830@0123890440	1348144-1-0238042173	89868
MC.AMD100763@0123890567	1350458-1-0238042932	89871
MC.AMD100764@0123889525	1351630-1-0238096601	89872
MC.AMD100776@0123889530	1357361-1-0238095452	89876
MC.155040@1075678567	1360944-1-0238038754	89878
MC.AMD122200@0124009903	1365072-1-0238061836	89881
MC.AMD100866@0123890926	1365278-1-0238061921	89882
MC.AMD100875@0123911595	1366130-1-0238095045	89883
MC.AMD100908@0124014881	1367871-1-0238039999	89884
MC.AMD100995@0123890758	1370432-1-0238040884	89890
MC.AMD101077@0124014833	1373341-1-0238042533	89894
MC.AMD101101@0123909309	1377391-1-0238061868	89896
MC.AMD101102@0123861182	1377901-1-0238041731	89897
MC.AMD122502@0124011176	1379246-1-0238094167	89900
MC.AMD101172@0123908283	1379721-1-0238095077	89901
MC.AMD101178@0123861124	1381422-1-0238040259	89902
MC.AMD122562@0123908759	1381497-1-0238038767	89903
MC.AMD101223@0123860966	1385997-1-0238061698	89906
MC.AMD115856@0123890569	1386635-1-0238039587	89907
MC.AMD101234@0123889370	1391586-1-0238041706	89908
MC.AMD101300@0123909826	1396675-1-0238096229	89912
MC.AMD122675@0123889344	1399258-1-0238096877	89914
MC.AMD101373@0123890727	1400705-1-0238041273	89918
MC.AMD101414@0123861359	1401600-1-0238095037	89920
MC.AMD122807@0124010905	1407088-1-0238096071	89926
MC.AMD101466@0123890589	1408728-1-0238062079	89928
MC.AMD101561@0123861183	1416356-1-0238041591	89935
MC.AMD122954@0123861339	1420869-1-0238038168	89939
MC.AMD122973@0123861239	1423711-1-0224009518	89942
MC.AMD101629@0123909546	1429579-1-0238042118	89944
MC.AMD123020@0123910550	1431407-1-0224008225	89946
MC.AMD101689@0123889501	1433169-1-0238042597	89950
MC.AMD101710@0124011122	1434032-1-0238038531	89952
MC.AMD101725@0123861878	1434624-1-0238040909	89954
MC.AMD101739@0124011363	1437407-1-0238039943	89956
MC.AMD123126@0123908391	1438284-1-0238094154	89958
MC.AMD101824@0123908304	1449106-1-0238042100	89963
MC.155185@1076254967	1450372-1-0238061723	89964
MC.AMD101890@0123911559	1457507-1-0238062102	89969
MC.AMD101945@0123909060	1463043-1-0238041175	89976
MC.AMD101952@0123908961	1464335-1-0238095907	89977
MC.AMD101989@0124011449	1475569-1-0238096621	89983
MC.AMD101998@0123861417	1479743-1-0238039766	89986
MC.AMD102002@0123908761	1482304-1-0238041415	89988
MC.AMD102006@0123861411	1482443-1-0238040743	89989
MC.AMD102043@0123890531	1485758-1-0238040388	89992
MC.AMD102087@0123890551	1487568-1-0238040645	89996
MC.AMD102118@0123859618	1493353-1-0224009380	90001
MC.AMD102285@0123908778	1516468-1-0224009275	90019
MC.AMD102287@0123861829	1517251-1-0238061398	90020
MC.AMD102289@0123890899	1518120-1-0238061256	90021
MC.AMD115934@0123890251	1522056-1-0238096290	90025
MC.AMD102497@0124014880	1533920-1-0224008831	90033
MC.AMD102530@0123908996	1537137-1-0238040686	90037
MC.AMD102543@0123861578	1537150-1-0238040735	90038
MC.AMD123949@0124009856	1542716-1-0238095927	90043
MC.AMD102611@0123861844	1544804-1-0238095753	90046
MC.AMD102655@0123860950	1546745-1-0238094298	90050
MC.AMD102676@0123909817	1552054-1-0238095658	90053
MC.AMD102706@0123911185	1553710-1-0238038466	90055
MC.AMD124137@0123890670	1561937-1-0238038550	90065
MC.AMD124143@0123890573	1562289-1-0238039839	90066
MC.155324@1075679042	1565787-1-0238096755	90068
MC.AMD124275@0124010963	1582077-1-0238042947	90081
MC.AMD137321@0123889802	1587720-1-0238038172	90086
MC.AMD102975@0123861826	1589968-1-0238040931	90089
MC.AMD103015@0124010192	1596972-1-0238041665	90094
MC.AMD103023@0123911555	1599818-1-0238041667	90095
MC.AMD103058@0123861735	1603774-1-0238095433	90100
MC.AMD103075@0124011306	1605659-1-0238096052	90104
MC.AMD103081@0123908763	1605905-1-0238038964	90105
MC.AMD103092@0123911548	1608529-1-0238096888	90107
MC.AMD103123@0124013685	1617060-1-0238040513	90115
MC.AMD103126@0123911463	1617239-1-0238061556	90116
MC.AMD124523@0123860988	1617315-1-0238042552	90117
MC.AMD103179@0123911601	1619642-1-0238042448	90121
MC.AMD124595@0123911332	1624915-1-0224009411	90127
MC.AMD103238@0123911419	1626373-1-0238042758	90129
MC.AMD124619@0123890820	1628879-1-0238042850	90130
MC.155397@1075641582	1632259-1-0238042935	90132
MC.AMD103270@0123861122	1633302-1-0238096767	90133
MC.AMD103308@0124010179	1637008-1-0238039402	90140
MC.AMD103310@0124010042	1637345-1-0238038326	90141
MC.155409@1075641415	1637590-1-0238095541	90142
MC.AMD103395@0124011277	1646115-1-0238042326	90153
MC.AMD103416@0123907402	1647834-1-0238040096	90155
MC.AMD103425@0123909046	1650905-1-0238095182	90157
MC.AMD124822@0123889409	1651873-1-0238095829	90159
MC.AMD103461@0124011276	1652021-1-0238061303	90160
MC.AMD103479@0123909165	1654314-1-0238095454	90162
MC.AMD103524@0123908264	1655944-1-0238038636	90166
MC.AMD103526@0124010915	1656561-1-0238095467	90167
MC.AMD103532@0123911647	1658093-1-0238038066	90169
MC.AMD116009@0123909253	1665773-1-0238096593	90174
MC.AMD103608@0123909507	1672303-1-0238042829	90178
MC.155450@1075680480	1677295-1-0238042234	90182
MC.AMD103745@0124011139	1684586-1-0238061920	90193
MC.AMD103760@0123909505	1687349-1-0238038051	90195
MC.AMD103773@0123909598	1692022-1-0238096756	90197
MC.AMD103801@0123907455	1695479-1-0238041159	90202
MC.155479@1076254320	1699356-1-0238041988	90206
MC.AMD103857@0124008388	1705095-1-0238095183	90209
MC.AMD103865@0124014909	1705556-1-0238040312	90210
MC.AMD103879@0124009843	1709042-1-0238060707	90214
MC.AMD103887@0123861064	1714640-1-0238038191	90216
MC.AMD125285@0123889264	1715902-1-0238096884	90220
MC.AMD137391@0123889779	1729653-1-0238038182	90233
MC.AMD104041@0123910859	1730597-1-0238039588	90234
MC.AMD137399@0123889922	1734207-1-0238096219	90241
MC.AMD104173@0123905603	1735282-1-0238096096	90242
MC.AMD104194@0123889437	1736088-1-0238096492	90243
MC.AMD104213@0123890265	1741805-1-0238042341	90247
MC.AMD104312@0123911331	1748173-1-0238062155	90259
MC.AMD104399@0124010083	1766913-1-0238038680	90270
MC.AMD137417@0123889312	1768705-1-0238060749	90272
MC.AMD104461@0123890359	1773054-1-0238096246	90275
MC.AMD104522@0123911428	1776059-1-0238096206	90279
MC.AMD125919@0124011322	1778854-1-0238060628	90284
MC.155588@1075642018	1787679-1-0238038026	90286
MC.AMD104626@0124008387	1793525-1-0238039859	90294
MC.AMD126043@0123859610	1802445-1-0238040659	90300
MC.AMD104850@0123860960	1817435-1-0238039354	90313
MC.AMD104894@0123890656	1818468-1-0238062260	90316
MC.AMD104965@0124011551	1829176-1-0238096815	90324
MC.AMD105003@0123861107	1833928-1-0238096466	90328
MC.AMD105012@0123909058	1835379-1-0238096543	90329
MC.AMD126411@0123889429	1843372-1-0238041916	90333
MC.AMD105069@0123909039	1845794-1-0238039856	90337
MC.AMD137448@0123889966	1848430-1-0238039154	90341
MC.AMD105133@0123907287	1852281-1-0238041287	90347
MC.AMD105165@0123860992	1861534-1-0238041629	90351
MC.AMD126539@0123909358	1862450-1-0238041688	90352
MC.AMD105171@0123911335	1862513-1-0238096870	90353
MC.AMD126592@0123911167	1868984-1-0238038049	90357
MC.AMD105304@0124010911	1880652-1-0238096309	90365
MC.AMD105333@0124011314	1883018-1-0238038360	90369
MC.AMD105340@0123890421	1887602-1-0238096486	90371
MC.155705@1076253441	1904378-1-0238041089	90389
MC.AMD105508@0123861748	1905535-1-0238039623	90393
MC.AMD126964@0123890394	1910006-1-0238038878	90401
MC.AMD127047@0123910219	1915936-1-0238041722	90410
MC.AMD127120@0123909800	1917763-1-0238038208	90415
MC.AMD105775@0123908441	1917918-1-0238096093	90417
MC.AMD105776@0123911151	1919120-1-0238039807	90418
MC.AMD105820@0124010111	1922245-1-0238096636	90423
MC.AMD105862@0124010050	1925876-1-0238040568	90426
MC.AMD105867@0123861696	1925967-1-0238094212	90427
MC.AMD105884@0123861718	1930694-1-0238041290	90430
MC.AMD105888@0123908341	1931931-1-0238061906	90431
MC.AMD137500@0124015181	1943091-1-0238038442	90439
MC.AMD137501@0124013396	1944243-1-0238038706	90441
MC.AMD105930@0123890502	1944496-1-0238038672	90442
MC.AMD105956@0123889427	1946149-1-0238038468	90446
MC.AMD105976@0124010041	1947230-1-0238095665	90448
MC.AMD106010@0124013742	1947845-1-0238062263	90449
MC.AMD127388@0123908401	1949991-1-0238095229	90450
MC.AMD137504@0123890276	1952477-1-0238042242	90453
MC.AMD106062@0123908293	1954986-1-0238041291	90455
MC.AMD106137@0124010971	1957850-1-0224009343	90458
MC.AMD137508@0124015179	1960640-1-0238094112	90459
MC.AMD106177@0123909522	1965355-1-0238096398	90461
MC.AMD106297@0123860945	1973343-1-0238042930	90469
MC.AMD137519@0123889256	1976044-1-0238062224	90471
MC.AMD137525@0124015178	1981934-1-0238095256	90476
MC.AMD137526@0124013390	1983047-1-0238038560	90477
MC.AMD127769@0123889787	1983159-1-0238095587	90479
MC.AMD106412@0124010137	1983924-1-0238041204	90480
MC.AMD106421@0123908812	1984805-1-0238040091	90482
MC.AMD106450@0123890684	1992152-1-0238040929	90486
MC.AMD137528@0124013397	1992767-1-0238041110	90487
MC.AMD106454@0124013746	1993554-1-0238038245	90488
MC.AMD137531@0124013377	2001435-1-0238039283	90493
MC.AMD127870@0124011532	2001578-1-0224009385	90494
MC.AMD106617@0123861499	2013922-1-0238039174	90507
MC.AMD137543@0123890275	2014667-1-0238040423	90508
MC.AMD106622@0124009886	2018386-1-0238095048	90509
MC.AMD106691@0124011234	2028699-1-0238038443	90516
MC.AMD137547@0124013376	2028937-1-0238039193	90517
MC.AMD106699@0123890858	2029297-1-0238096916	90518
MC.AMD137552@0124014220	2033786-1-0238095203	90528
MC.AMD137553@0124015123	2036565-1-0238061992	90530
MC.AMD137556@0124015148	2036775-1-0238096647	90531
MC.AMD128204@0123910467	2038808-1-0238094330	90534
MC.AMD106837@0123907482	2038936-1-0238061940	90535
MC.AMD128208@0124011459	2042264-1-0238040479	90537
MC.AMD106862@0123909827	2042331-1-0238038969	90538
MC.AMD106864@0123911426	2044414-1-0238039928	90539
MC.AMD137561@0124014228	2044935-1-0238041931	90541
MC.AMD106939@0123911531	2048008-1-0238042808	90544
MC.AMD137570@0124014194	2057615-1-0238061827	90554
MC.AMD128417@0123890887	2061045-1-0238061936	90557
MC.AMD137573@0124015149	2063771-1-0238096006	90558
MC.AMD128435@0124011053	2064058-1-0238039457	90559
MC.AMD107107@0123907425	2067763-1-0238040462	90563
MC.AMD107108@0124011156	2067942-1-0238096186	90564
MC.AMD107125@0124011435	2068801-1-0238041900	90565
MC.AMD137577@0124015142	2069450-1-0238040215	90567
MC.AMD128553@0123890271	2072124-1-0238096872	90569
MC.AMD137581@0124015106	2083778-1-0238043009	90578
MC.AMD107321@0123890413	2084797-1-0238040834	90579
MC.AMD137582@0124015159	2086556-1-0238041751	90581
MC.AMD137583@0124015109	2087749-1-0238039629	90582
MC.AMD107347@0124009851	2091781-1-0238041901	90584
MC.AMD128731@0123859620	2093379-1-0238061259	90587
MC.AMD107420@0124010945	2099903-1-0238061948	90592
MC.AMD137587@0124015138	2106890-1-0238042041	90597
MC.AMD107504@0123911471	2109666-1-0238038150	90602
MC.AMD107532@0124011021	2111006-1-0238038953	90604
MC.AMD137590@0124015119	2111334-1-0238041434	90605
MC.AMD137591@0124015163	2111476-1-0238095004	90606
MC.AMD137595@0124014231	2112951-1-0238094279	90610
MC.AMD107604@0123911290	2114544-1-0238038538	90613
MC.AMD107610@0123889489	2120022-1-0238096202	90616
MC.AMD137599@0124015126	2124436-1-0238041871	90619
MC.AMD107650@0123911711	2124477-1-0238039375	90620
MC.AMD129041@0123861172	2127675-1-0238039423	90622
MC.AMD107682@0123861206	2129361-1-0238042313	90624
MC.AMD137604@0124015116	2135198-1-0238040992	90625
MC.AMD137607@0124015127	2144437-1-0238038579	90634
MC.AMD107769@0124011376	2145365-1-0238039310	90635
MC.AMD129205@0123861143	2148964-1-0238039428	90643
MC.AMD129284@0124011342	2153775-1-0238039912	90648
MC.AMD137622@0124014222	2158390-1-0238061534	90652
MC.AMD137624@0124014236	2160931-1-0224009430	90654
MC.AMD107986@0123909265	2163184-1-0238042880	90657
MC.156039@1075680531	2166768-1-0238041909	90660
MC.AMD108113@0123890480	2171394-1-0238096179	90664
MC.AMD108121@0123889371	2173918-1-0238041874	90665
MC.AMD108147@0124010032	2177203-1-0238042397	90668
MC.AMD137634@0124014212	2177225-1-0238041736	90669
MC.AMD108225@0123908321	2180560-1-0238042999	90674
MC.AMD108227@0123911147	2181103-1-0238061501	90675
MC.AMD108241@0123910523	2182015-1-0238061887	90677
MC.AMD108348@0123909094	2195281-1-0238041942	90688
MC.AMD137648@0124014227	2196315-1-0238042180	90689
MC.AMD108417@0123911699	2206506-1-0238039204	90696
MC.AMD108485@0123908385	2220573-1-0238096745	90702
MC.AMD137654@0124014209	2224769-1-0238041188	90706
MC.AMD137657@0124015117	2231614-1-0238041305	90713
MC.AMD108578@0123911357	2231834-1-0238042319	90714
MC.AMD130006@0123911423	2240362-1-0224009378	90721
MC.AMD130020@0123910915	2240430-1-0224009462	90722
MC.AMD108663@0123908276	2245178-1-0238038885	90724
MC.AMD108684@0123861377	2250916-1-0238038574	90729
MC.AMD108729@0123909823	2255894-1-0238042824	90733
MC.AMD130100@0123861084	2262809-1-0238061947	90734
MC.AMD108817@0123890272	2271501-1-0238041403	90744
MC.AMD108885@0123909339	2275467-1-0238038587	90748
MC.AMD108944@0123907474	2276443-1-0238094217	90749
MC.AMD116335@0124010125	2280338-1-0238039334	90756
MC.AMD109060@0123890647	2281395-1-0238042517	90759
MC.AMD109192@0123889420	2293319-1-0238039086	90767
MC.AMD130653@0123889994	2298916-1-0238095503	90778
MC.AMD109475@0123861617	2331362-1-0238061414	90809
MC.AMD109476@0124011365	2332009-1-0238039046	90810
MC.AMD130858@0124013679	2333791-1-0238042583	90812
MC.AMD130871@0123910933	2335404-1-0224008232	90815
MC.AMD109511@0123910475	2342281-1-0238038869	90817
MC.AMD109516@0124011455	2342827-1-0238039834	90818
MC.AMD109628@0124011417	2349445-1-0238040236	90828
MC.AMD109706@0124009828	2355292-1-0238095919	90833
MC.AMD109714@0124010146	2357115-1-0238060669	90834
MC.AMD109755@0123889378	2358059-1-0238038796	90837
MC.AMD131151@0123890393	2358752-1-0238041986	90840
MC.AMD109817@0123911211	2359239-1-0238094338	90842
MC.AMD109877@0124009841	2372518-1-0238039672	90851
MC.AMD109887@0123861701	2373788-1-0224009393	90852
MC.AMD109907@0123890228	2375023-1-0238039472	90854
MC.AMD109963@0123909193	2380716-1-0238061677	90859
MC.AMD109970@0123890568	2380758-1-0238062030	90860
MC.AMD110009@0123861497	2384196-1-0238061624	90865
MC.AMD110281@0124011051	2401818-1-0238040900	90886
MC.AMD131676@0123890347	2407483-1-0238040778	90888
MC.AMD110422@0124013383	2417916-1-0238040350	90897
MC.AMD110663@0123861777	2436653-1-0238061607	90921
MC.AMD110664@0124011403	2438687-1-0238038708	90922
MC.AMD110705@0123889976	2442573-1-0238038411	90927
MC.AMD110711@0124014903	2443814-1-0224009512	90928
MC.AMD132140@0123889795	2447597-1-0224009245	90933
MC.AMD132178@0124009829	2452722-1-0238041636	90936
MC.AMD110893@0123861349	2456626-1-0238038839	90943
MC.AMD116448@0123861563	2458637-1-0238042053	90945
MC.AMD110914@0123889349	2460558-1-0238038431	90947
MC.AMD111205@0123861710	2485947-1-0238095958	90973
MC.AMD132635@0123890541	2489584-1-0238039652	90978
MC.AMD111313@0123908885	2495653-1-0238061442	90981
MC.AMD111321@0124010992	2495966-1-0238042140	90982
MC.AMD111432@0123911457	2501531-1-0238038693	90988
