EXOME_PHASE1_ID,EXOME_PHASE2_FULL_ID,SCH10411_ESID
MC.AMD126968@0123861421,,5523724
MC.AMD118689@0123861444,,7357525
MC.AMD110977@0123861433,,5316805
MC.AMD133458@0123908803,,4107840
MC.AMD121847@0123908797,,7559356
MC.AMD108173@0123908798,,5578651
MC.AMD118207@0123908354,,5822847
MC.AMD112903@0123908777,,6400967
MC.AMD116547@0123908774,,8318680
MC.AMD127025@0123908749,,9150279
MC.AMD108834@0123908736,,7788374
MC.AMD121673@0123907405,,7200626
MC.AMD128588@0123907394,,5581505
MC.AMD104528@0123909150,,3309477
MC.AMD105133@0123907287,,6992820
MC.AMD105175@0123861446,,3897851
MC.AMD105816@0123909151,,7304789
MC.AMD107814@0123909134,,1097733
MC.AMD129319@0124011027,,2749198
MC.AMD119057@0124011022,,8273695
MC.AMD111892@0123890259,,6422466
MC.AMD106020@0123890263,,9221862
MC.AMD100813@0123890258,,8973501
MC.AMD105535@0124011004,,1520008
MC.AMD133256@0124010987,,9087963
MC.156620@1075642223,,5243082
MC.AMD105474@0124011007,,4857860
MC.AMD123700@0123890235,,4391574
MC.154500@1075680613,,5368959
MC.AMD103472@0124010995,,9888354
MC.AMD109477@0124010991,,1735864
MC.AMD110518@0124010994,,9579539
MC.AMD136133@0124011011,,7497574
MC.AMD103973@0124010986,,8717950
MC.AMD104328@0124010980,,9774236
MC.AMD115795@0124011451,,1868965
MC.AMD109516@0124011455,,7452021
MC.AMD130386@0124011439,,2881496
MC.159637@1075680627,,7028737
MC.AMD100995@0123890758,,1663271
MC.AMD106265@0124011411,,6560204
MC.AMD105829@0124011389,,1243236
MC.AMD132919@0124011392,,7218169
MC.156567@1075642024,,2519507
MC.AMD126000@0124011351,,6684509
MC.AMD104796@0124011366,,4825595
MC.AMD101739@0124011363,,3548067
MC.AMD109476@0124011365,,5164730
MC.AMD121164@0123890485,,3253433
MC.AMD104870@0123890696,,7004749
MC.AMD117204@0123890486,,5707754
MC.AMD101127@0123890470,,1562363
MC.AMD110358@0123890479,,2754996
MC.AMD129284@0124011342,,6672703
MC.AMD101361@0123890453,,3413326
MC.AMD103680@0124011312,,4886211
MC.AMD105920@0123889997,,2672499
MC.AMD100303@0124011305,,2682533
MC.AMD111852@0123890425,,9044623
MC.AMD103075@0124011306,,9442038
MC.AMD107321@0123890413,,6303497
MC.154781@1075680475,,3157024
MC.AMD128338@0124011294,,1680076
MC.AMD101225@0123890587,,3337425
MC.AMD103460@0124008460,,9303862
MC.AMD109144@0123890564,,6146584
MC.AMD135447@0123890562,,3442548
MC.AMD109023@0123889998,,7052732
MC.AMD110251@0123909099,,7741354
MC.AMD120951@0124011542,,2527853
MC.AMD116565@0123909102,,9128643
MC.156652@1075680467,,3783999
MC.AMD100541@0123890528,,8453746
MC.AMD103079@0124011500,,9027539
MC.AMD103448@0123890498,,8248891
MC.AMD134567@0123890499,,6619753
MC.AMD100810@0124011485,,6536614
MC.AMD109681@0123890336,,6238172
MC.AMD100467@0123890380,,5313772
MC.AMD122314@0124009896,,9809086
MC.AMD104876@0124009895,,3517631
MC.AMD123999@0124009900,,5950558
MC.AMD104552@0123890321,,1706222
MC.AMD108952@0123890344,,6860540
MC.AMD100579@0123890311,,8159336
MC.AMD109569@0124013726,,7729901
MC.AMD106625@0124009871,,1206129
MC.AMD108081@0124013725,,1308733
MC.AMD114340@0124009870,,6015030
MC.AMD105784@0124009864,,8032177
MC.AMD109192@0123889420,,1972259
MC.AMD131789@0124009848,,5260326
MC.AMD109103@0123889432,,9719284
MC.AMD118096@0123909087,,6144494
MC.AMD127339@0124009854,,7610205
MC.AMD103330@0123911485,,5068154
MC.AMD114179@0123911506,,2380362
MC.AMD105635@0123889462,,2256768
MC.AMD104952@0123911483,,3613961
MC.AMD101351@0123911470,,2367682
MC.AMD124703@0123911489,,8908961
MC.AMD115981@0123911464,,3475073
MC.AMD119148@0123889455,,4132024
MC.AMD104632@0123890967,,5720458
MC.AMD104515@0123911454,,8417567
MC.AMD128348@0123890944,,4352192
MC.AMD108127@0123890943,,5516908
MC.AMD102597@0123890950,,5157629
MC.AMD111641@0124013713,,7569685
MC.AMD136821@0124013714,,2235566
MC.AMD101087@0123909071,,7254276
MC.AMD101128@0123890924,,7852014
MC.AMD117610@0123911256,,3959047
MC.AMD100388@0123911262,,1556825
MC.AMD129183@0123911258,,2143016
MC.AMD120781@0123911263,,3366614
MC.AMD106447@0123890910,,2439580
MC.AMD128229@0123911236,,9464407
MC.AMD100169@0123890913,,4024930
MC.AMD129069@0123911227,,2654523
MC.AMD127188@0123911222,,2804163
MC.AMD109707@0123859608,,4958763
MC.AMD100171@0123861390,,1569328
MC.AMD113532@0123910218,,6860248
MC.AMD119150@0123861378,,7469948
MC.AMD105743@0123911183,,2288284
MC.AMD102173@0123861365,,9001062
MC.AMD119149@0123911142,,5530110
MC.AMD110745@0123909061,,3592768
MC.AMD137603@0124014230,,5888479
MC.AMD115217@0123861644,,4582951
MC.AMD112121@0123911144,,6197891
MC.AMD101719@0123910942,,1199640
MC.AMD110256@0123889758,,2257488
MC.AMD109331@0123859607,,8174764
MC.AMD111927@0123910922,,7591474
MC.AMD130020@0123910915,,8341424
MC.AMD123933@0123910912,,6935517
MC.AMD103347@0123859611,,3707142
MC.AMD117660@0123910874,,3292970
MC.AMD103365@0123861654,,3811555
MC.AMD103678@0123861658,,8107496
MC.AMD101712@0123910860,,5800842
MC.156918@1075676765,,8690456
MC.AMD107399@0123861637,,2700127
MC.AMD104684@0123861640,,7152617
MC.AMD124796@0123910848,,6564277
MC.AMD124760@0123909055,,7397773
MC.AMD119120@0123861639,,6941898
MC.156238@1075680101,,3291774
MC.AMD120944@0123861629,,1775672
MC.AMD104493@0123909874,,1373672
MC.AMD101833@0123861118,,8369808
MC.AMD109230@0123909853,,7410129
MC.AMD137630@0124014229,,1778347
MC.AMD115797@0123861098,,6113367
MC.AMD105003@0123861107,,5973997
MC.AMD103694@0123909043,,5270316
MC.AMD101718@0123909818,,5821978
MC.AMD101300@0123909826,,3674338
MC.AMD129187@0123909816,,7396375
MC.AMD102118@0123859618,,2790786
MC.AMD106862@0123909827,,8947219
MC.AMD121807@0123909821,,2783162
MC.AMD101497@0123861054,,5769576
MC.AMD104443@0123889402,,1972958
MC.AMD105069@0123909039,,3284410
MC.AMD110702@0123861315,,2459099
MC.AMD118909@0123911310,,6417473
MC.AMD106867@0123911308,,1744432
MC.AMD118740@0123911710,,6540731
MC.156320@1075680533,,3325769
MC.AMD113776@0124013706,,3778420
MC.AMD116272@0124013705,,4707427
MC.AMD115764@0123911281,,3896671
MC.AMD112668@0123861319,,3432479
MC.AMD107081@0123861855,,6655605
MC.AMD136003@0123911401,,7089739
MC.AMD133100@0123911404,,3316168
MC.AMD115276@0123861820,,8899385
MC.AMD101835@0123859628,,1544135
MC.AMD133431@0123911384,,6157350
MC.AMD124682@0123911373,,1671445
MC.AMD105456@0123861797,,3907482
MC.AMD101427@0123861795,,1629952
MC.AMD122812@0123910226,,6186612
MC.AMD101486@0123861801,,7720152
MC.AMD123775@0123911349,,9168910
MC.AMD101455@0123861496,,8701726
MC.AMD110373@0123861419,,3958548
MC.AMD119961@0123861473,,6485454
MC.AMD104571@0123911678,,8591815
MC.AMD121146@0123911670,,3607242
MC.AMD100845@0123861436,,2949908
MC.AMD132894@0123861416,,7168886
MC.AMD128440@0123911659,,3122603
MC.AMD103532@0123911647,,9496814
MC.AMD137579@0124014225,,1957781
MC.AMD103010@0123861415,,4192649
MC.AMD114525@0123861568,,4154195
MC.AMD111880@0123861564,,9678633
MC.AMD101932@0123861547,,3863908
MC.AMD106209@0123909579,,3854113
MC.AMD130870@0123909574,,9316981
MC.AMD104920@0123861528,,6729024
MC.AMD111882@0123861204,,6186031
MC.AMD105192@0123909551,,2643960
MC.AMD108223@0123861518,,1332029
MC.AMD101529@0123861508,,2506061
MC.AMD106786@0123909535,,8294829
MC.AMD110636@0123909521,,1807095
MC.AMD113942@0123861296,,7045062
MC.AMD107963@0123861299,,1482001
MC.AMD105813@0123909003,,3486036
MC.AMD100187@0123911594,,6129152
MC.AMD107512@0123911581,,6098949
MC.AMD110770@0123861272,,1494295
MC.AMD101308@0123911585,,2820050
MC.AMD122105@0123861197,,4777982
MC.AMD121857@0123911564,,6643847
MC.AMD124216@0123861234,,2691617
MC.AMD109109@0123861232,,6463310
MC.AMD103023@0123911555,,7387938
MC.155613@1075678940,,7947755
MC.AMD100712@0123889365,,3309278
MC.AMD137634@0124014212,,2901748
MC.AMD103589@0123911538,,4283885
MC.AMD131021@0123861201,,8604681
MC.AMD122011@0123908939,,6953115
MC.AMD102932@0123861221,,5075968
MC.AMD119228@0123911533,,3916059
MC.AMD115161@0123911520,,7487457
MC.AMD107961@0123861789,,8141255
MC.AMD100473@0123910557,,5569198
MC.AMD129148@0123910553,,9327908
MC.AMD104740@0123910531,,3774452
MC.AMD102153@0123861778,,1650234
MC.AMD101250@0123910517,,2059319
MC.AMD109362@0123861763,,4728428
MC.AMD104966@0123910491,,5053954
MC.AMD100796@0123910496,,3918207
MC.AMD128686@0123910468,,8084230
MC.AMD128204@0123910467,,8502915
MC.AMD105525@0123861729,,2192129
MC.AMD113673@0124010962,,5915051
MC.AMD100926@0123861698,,4257588
MC.AMD102427@0123861019,,1218528
MC.AMD105167@0123861018,,2850670
MC.AMD111439@0124012353,,6344765
MC.AMD100042@0123889346,,7485755
MC.AMD104458@0124010918,,1936593
MC.AMD118950@0124010916,,6510558
MC.AMD104234@0123860978,,7194153
MC.AMD130988@0124013686,,1100203
MC.AMD100864@0123860979,,1012104
MC.AMD117020@0124010899,,5471643
MC.AMD102207@0124010892,,2963715
MC.AMD110914@0123889349,,9006255
MC.AMD122976@0124011155,,6571283
MC.AMD103527@0124014893,,4747746
MC.AMD106148@0124014885,,2517174
MC.AMD115633@0124011121,,6047203
MC.AMD102497@0124014880,,4809665
MC.AMD126611@0124011128,,2388305
MC.AMD113664@0124014871,,3235911
MC.AMD115378@0124013682,,3358216
MC.AMD110257@0124014872,,4342483
MC.AMD102122@0124014856,,9357929
MC.AMD101892@0124014840,,5456886
MC.AMD105164@0124014857,,8509016
MC.AMD105296@0124011103,,3854547
MC.AMD102462@0124014832,,9192094
MC.AMD102313@0124014830,,1013340
MC.AMD119574@0124014821,,4212903
MC.AMD102961@0123908350,,7774886
MC.AMD103719@0123908340,,8729086
MC.AMD106001@0124010105,,6099843
MC.154507@1075691109,,4944462
MC.AMD102500@0124010093,,5730831
MC.AMD110763@0123908317,,9510959
MC.AMD100947@0124010085,,5107190
MC.AMD118898@0124010060,,2156701
MC.AMD130858@0124013679,,2633543
MC.AMD105366@0124010072,,5304166
MC.AMD118381@0124010059,,4270261
MC.AMD106621@0123908265,,4444039
MC.AMD113927@0124010049,,2875436
MC.155571@1075679012,,4812204
MC.AMD106785@0123909388,,4376828
MC.AMD137599@0124015126,,3160010
MC.AMD111272@0123909392,,4749566
MC.AMD105253@0123909383,,2440289
MC.AMD106917@0124010016,,1845627
MC.AMD100590@0124011257,,4330148
MC.AMD101214@0123909366,,7769863
MC.AMD134270@0123909336,,5884325
MC.AMD101165@0123909350,,6898238
MC.AMD104155@0123889512,,7854433
MC.AMD112284@0123909335,,7422672
MC.AMD102015@0123909334,,3055746
MC.AMD110283@0124011238,,5065563
MC.AMD106051@0123909321,,4904747
MC.AMD130487@0123909319,,8126335
MC.AMD103483@0124011226,,3760923
MC.AMD102524@0123909291,,1937936
MC.AMD112902@0123909286,,6817718
MC.AMD100977@0123909284,,5776812
MC.AMD121023@0123909283,,5046208
MC.AMD123318@0123909282,,7187880
MC.AMD107256@0124013385,,2990730
MC.AMD121849@0124011184,,3532703
MC.AMD137576@0124015120,,9085978
MC.AMD127338@0124010184,,2327738
MC.AMD119595@0123908917,,8044512
MC.AMD116357@0124010173,,4469702
MC.AMD101995@0123908901,,4612097
MC.AMD113828@0124010169,,8996090
MC.AMD117511@0123908956,,8799148
MC.AMD104774@0123908877,,9254992
MC.AMD110691@0124010141,,3505868
MC.AMD107394@0123908958,,2468214
MC.AMD125476@0123908856,,7130170
MC.AMD112112@0123908851,,9168875
MC.AMD105414@0123908839,,1412601
MC.AMD104567@0123908844,,2192075
MC.AMD106775@0123908960,,7984163
MC.AMD111651@0123908443,,4963945
MC.AMD104147@0123890848,,2268660
MC.AMD100145@0123890364,,1899440
MC.AMD104481@0123890846,,5956047
MC.AMD105788@0124013386,,8105540
MC.AMD100108@0123908431,,8086775
MC.AMD114403@0123890829,,7919333
MC.AMD116916@0123890827,,1598986
MC.AMD107979@0123908417,,5304019
MC.AMD121623@0123908946,,6495631
MC.AMD119920@0123908402,,4513792
MC.AMD123997@0123908392,,3190556
MC.AMD137114@0123890784,,3754807
MC.AMD115270@0123860931,,7907059
,2527777-1-0238061436,2527777
,2411696-1-0238038420,2411696
MC.157957@1075680158,,9090801
MC.AMD134600@0123908913,,1733272
,1637008-1-0238039402,1637008
MC.AMD134606@0124010999,,4501960
MC.AMD102972@0123909575,,1636473
MC.160919@1075678531,,4928736
,2696537-1-0224009350,2696537
MC.AMD102981@0123861329,,5244273
,1174967-1-0238095476,1174967
MC.AMD103005@0124009909,,2282226
,1615592-1-0238040974,1615592
MC.AMD103022@0124010097,,8706930
,2484831-1-0238094180,2484831
,2742142-1-0238039418,2742142
,2271501-1-0238041403,2271501
MC.AMD103037@0123861196,,3288015
,2250916-1-0238038574,2250916
,1131694-1-0238040811,1131694
MC.AMD134685@0123911461,,7707935
MC.AMD103088@0123861267,,1726552
,1226632-1-0238096697,1226632
MC.163190@1082086957,,3829332
,1916680-1-0238062280,1916680
MC.159002@1076254175,,7050387
MC.159959@1076253468,,3556094
MC.AMD134725@0123911499,,6996706
MC.AMD103161@0124011280,,7762019
MC.160639@1075642108,,9334228
,2495966-1-0238042140,2495966
,1423711-1-0224009518,1423711
,1031653-1-0238040322,1031653
,1672303-1-0238042829,1672303
MC.AMD103236@0123908358,,6263580
,2485947-1-0238095958,2485947
,2114544-1-0238038538,2114544
,2977950-1-0238040220,2977950
,1409287-1-0238040368,1409287
MC.AMD100033@0123861545,,4451921
,2110480-1-0238038140,2110480
,2143876-1-0238038629,2143876
,2787909-1-0238095195,2787909
MC.AMD103302@0123909276,,4218894
,1462969-1-0238096188,1462969
MC.159403@1075678225,,4531502
MC.AMD103343@0123890234,,3309872
,1766913-1-0238038680,1766913
MC.157001@1075642445,,9935083
MC.158878@1076253564,,8128868
MC.AMD103358@0124011419,,9446475
,1092744-1-0238041447,1092744
MC.AMD134923@0124011510,,6466046
,2709437-1-0238062244,2709437
MC.161059@1075679069,,4267988
MC.AMD134928@0124011511,,7331819
MC.159200@1076253408,,7246126
,1403794-1-0238096485,1403794
MC.AMD103490@0123890745,,5426249
,1617060-1-0238040513,1617060
MC.AMD103503@0123889519,,8150267
,2082223-1-0238039805,2082223
,2466577-1-0238062057,2466577
,1157786-1-0224008227,1157786
,1731448-1-0238040970,1731448
,2358752-1-0238041986,2358752
,1434624-1-0238040909,1434624
MC.AMD134563@0123908269,,3185411
,2170150-1-0238039932,2170150
MC.AMD102883@0123890748,,7665016
MC.AMD102888@0124010030,,2226776
,2343821-1-0238038423,2343821
MC.AMD102946@0123907487,,3593329
MC.AMD134611@0123861160,,9452860
MC.AMD134612@0124012329,,4400099
MC.AMD102959@0123911370,,4901000
,1051972-1-0238095861,1051972
MC.AMD134647@0124010953,,7630627
,2689759-1-0238039688,2689759
,2821911-1-0238096331,2821911
MC.160361@1075641675,,1880056
,1292391-1-0238040397,1292391
,1933529-1-0238039924,1933529
,2086556-1-0238041751,2086556
,1732928-1-0238040531,1732928
,1763007-1-0238038113,1763007
,2775577-1-0238094081,2775577
MC.AMD103072@0123889353,,2796249
MC.AMD103101@0123911459,,2455417
,2977151-1-0238096473,2977151
MC.AMD103113@0123909257,,8428108
MC.AMD103126@0123911463,,5141031
,2358432-1-0238042142,2358432
,2049025-1-0238040658,2049025
MC.AMD134734@0123909050,,9393543
,2628798-1-0238041195,2628798
,1652965-1-0238095590,1652965
,2442573-1-0238038411,2442573
MC.158021@1075678183,,2045665
,2500756-1-0238040891,2500756
,1336210-1-0238061584,1336210
,1124527-1-0238040300,1124527
MC.AMD103200@0124010020,,2582451
,2898038-1-0238040770,2898038
,1381422-1-0238040259,1381422
,2932697-1-0238094118,2932697
,1180980-1-0238041602,1180980
MC.AMD134795@0123910883,,6161918
,2050954-1-0238060631,2050954
MC.159226@1075690419,,9079422
,1382824-1-0238039224,1382824
,1135079-1-0238042115,1135079
MC.AMD100097@0123909068,,2651967
MC.158957@1075641569,,3028428
MC.AMD137648@0124014227,,9058585
MC.AMD103377@0124011504,,4574814
MC.AMD103385@0124013459,,2879101
,2833758-1-0238094082,2833758
MC.160142@1075641708,,5991674
MC.AMD134896@0123911480,,5625811
,1493933-1-0238042157,1493933
,2227289-1-0238096477,2227289
MC.AMD103408@0123861679,,9983611
,1193613-1-0238062006,1193613
MC.154814@1075691065,,2999971
,2293969-1-0238096914,2293969
MC.AMD134938@0123907414,,1671986
,2026662-1-0238039349,2026662
MC.AMD103459@0123861229,,1406151
MC.AMD100037@0123889503,,4067710
,2268523-1-0238039643,2268523
,1945769-1-0238095769,1945769
MC.157621@1075641411,,5750045
MC.AMD103543@0123909185,,4155032
MC.AMD135005@0124010961,,4694801
MC.AMD103546@0124010195,,1739356
MC.159896@0123948001,,5305512
,2654930-1-0238039863,2654930
,1680069-1-0238041397,1680069
,1736088-1-0238096492,1736088
,1378271-1-0238040243,1378271
,2649297-1-0238042025,2649297
,1258932-1-0238039481,1258932
,1983924-1-0238041204,1983924
MC.160506@1075641944,,5709356
,1543915-1-0238042982,1543915
,1546544-1-0238061557,1546544
MC.163127@1082087094,,3439046
,1675989-1-0238061916,1675989
,1370432-1-0238040884,1370432
,1845794-1-0238039856,1845794
,2219146-1-0238042162,2219146
MC.157686@1075680510,,6460206
,1802445-1-0238040659,1802445
MC.AMD103663@0123908404,,6265922
,2588515-1-0224008837,2588515
MC.154767@1075642113,,9028128
MC.AMD103772@0123908871,,1811025
MC.160578@1075642431,,6405612
,2148884-1-0238062274,2148884
MC.AMD135138@0123908940,,9877122
,2358059-1-0238038796,2358059
MC.159758@1076254712,,3504591
,1665773-1-0238096593,1665773
,1365278-1-0238061921,1365278
,2332009-1-0238039046,2332009
,2251572-1-0224008768,2251572
MC.AMD135186@0123910896,,9992620
MC.AMD135187@0124011547,,6474470
,1264490-1-0238039089,1264490
,1302958-1-0238042765,1302958
MC.AMD103928@0123911188,,7556091
,1776437-1-0238041298,1776437
MC.163154@1082087001,,2109184
,1705556-1-0238040312,1705556
,1852281-1-0238041287,1852281
,2321759-1-0238038441,2321759
MC.AMD103958@0123861754,,5500096
,2026572-1-0238042812,2026572
,1393190-1-0238062093,1393190
,1184211-1-0238040301,1184211
,2700749-1-0238039166,2700749
MC.AMD103983@0123861762,,3678820
MC.AMD104049@0123911162,,3883416
,1705095-1-0238095183,1705095
MC.AMD104053@0124010103,,3665030
MC.159108@1075678373,,7303582
MC.AMD135326@0123910498,,8114522
