MC103Curdaln_ACTTGA_L007Log.final.out:,Uniquely,90.69%
MC103LPS_GATCAG_L003Log.final.out:,Uniquely,90.52%
MC103NT_CAGATC_L003Log.final.out:,Uniquely,90.25%
MC110NT_GAGTGG_L004Log.final.out:,Uniquely,91.08%
MC111Curdlan_CGATGT_L002Log.final.out:,Uniquely,83.10%
MC114NT_CGATGT_L006Log.final.out:,Uniquely,80.43%
MC119Curdlan_CGATGT_L005Log.final.out:,Uniquely,85.83%
MC119LPS_TTAGGC_L005Log.final.out:,Uniquely,87.44%
MC119NT_ATCACG_L005Log.final.out:,Uniquely,87.69%
MC120Curdlan_ACAGTG_L005Log.final.out:,Uniquely,86.95%
MC120LPS_GCCAAT_L005Log.final.out:,Uniquely,91.59%
MC120NT_TGACCA_L005Log.final.out:,Uniquely,90.97%
MC121Curdlan_TAGCTT_L002Log.final.out:,Uniquely,64.71%
MC121LPS_GATCAG_L002Log.final.out:,Uniquely,85.47%
MC121NT_CAGATC_L007Log.final.out:,Uniquely,88.82%
MC122Curdlan_GGCTAC_L005Log.final.out:,Uniquely,55.14%
MC122LPS_CTTGTA_L005Log.final.out:,Uniquely,89.65%
MC122NT_TAGCTT_L005Log.final.out:,Uniquely,90.92%
MC123Curdlan_AGTTCC_L006Log.final.out:,Uniquely,74.69%
MC123LPSPlate2_G11_ATGTCA_L006Log.final.out:,Uniquely,90.33%
MC123LPSPlate2_H11_CCGTCC_L006Log.final.out:,Uniquely,88.52%
MC123NT_AGTCAA_L006Log.final.out:,Uniquely,89.47%
MC124Curdlan_GTGAAA_L006Log.final.out:,Uniquely,84.89%
MC124LPS_GTGGCC_L006Log.final.out:,Uniquely,90.15%
MC124NT_GTCCGC_L006Log.final.out:,Uniquely,91.14%
MC125Curdlan_CGTACG_L001Log.final.out:,Uniquely,86.56%
MC125LPS_ATGTCA_L001Log.final.out:,Uniquely,78.20%
MC125NT_GTTTCG_L004Log.final.out:,Uniquely,89.30%
MC126Curdlan_ATTCCT_L006Log.final.out:,Uniquely,86.88%
MC126LPS_ATCACG_L001Log.final.out:,Uniquely,85.27%
MC126NT_ACTGAT_L001Log.final.out:,Uniquely,90.06%
MC127Curdlan_TTAGGC_L001Log.final.out:,Uniquely,82.40%
MC127LPS_TGACCA_L001Log.final.out:,Uniquely,90.03%
MC127NT_CGATGT_L001Log.final.out:,Uniquely,89.74%
MC128Curdlan_GCCAAT_L001Log.final.out:,Uniquely,89.46%
MC128LPS_CAGATC_L001Log.final.out:,Uniquely,91.30%
MC128NT_ACAGTG_L001Log.final.out:,Uniquely,89.66%
MC129Curdlan_GATCAG_L006Log.final.out:,Uniquely,91.06%
MC129LPS_TAGCTT_L006Log.final.out:,Uniquely,90.51%
MC129NT_ACTTGA_L006Log.final.out:,Uniquely,91.79%
MC130Curdlan_CTTGTA_L001Log.final.out:,Uniquely,88.47%
MC130NT_GGCTAC_L001Log.final.out:,Uniquely,89.49%
MC131Curdlan_AGTTCC_L007Log.final.out:,Uniquely,90.25%
MC131LPS_ATGTCA_L007Log.final.out:,Uniquely,90.79%
