MC131NT_AGTCAA_L007Log.final.out:,Uniquely,90.55%
MC132Curdlan_GTCCGC_L002Log.final.out:,Uniquely,90.29%
MC132LPS_GTGAAA_L002Log.final.out:,Uniquely,91.69%
MC132NT_CCGTCC_L002Log.final.out:,Uniquely,90.56%
MC133Curdlan_GTTTCG_L002Log.final.out:,Uniquely,89.09%
MC133LPS_CGTACG_L002Log.final.out:,Uniquely,89.62%
MC133NT_GTGGCC_L002Log.final.out:,Uniquely,90.24%
MC134Curdlan_ACTGAT_L002Log.final.out:,Uniquely,87.31%
MC134LPS_ATTCCT_L002Log.final.out:,Uniquely,87.95%
MC134NT_GAGTGG_L002Log.final.out:,Uniquely,89.44%
MC135Curdlan_CGATGT_L003Log.final.out:,Uniquely,13.66%
MC135LPS_TTAGGC_L003Log.final.out:,Uniquely,86.56%
MC135NT_ATCACG_L003Log.final.out:,Uniquely,79.11%
MC136Curdlan_ACAGTG_L003Log.final.out:,Uniquely,91.16%
MC136LPS_GCCAAT_L003Log.final.out:,Uniquely,90.99%
MC136NT_TGACCA_L003Log.final.out:,Uniquely,90.82%
MC137Curdlan_GGCTAC_L003Log.final.out:,Uniquely,91.11%
MC137LPS_CTTGTA_L003Log.final.out:,Uniquely,91.43%
MC137NT_TAGCTT_L003Log.final.out:,Uniquely,91.07%
MC138Curdlan_AGTTCC_L004Log.final.out:,Uniquely,91.97%
MC138LPS_ATGTCA_L004Log.final.out:,Uniquely,91.65%
MC138NT_AGTCAA_L004Log.final.out:,Uniquely,91.76%
MC139Curdlan_GTCCGC_L004Log.final.out:,Uniquely,90.96%
MC139LPS_GTGAAA_L004Log.final.out:,Uniquely,88.21%
MC139NT_CCGTCC_L004Log.final.out:,Uniquely,90.34%
UW001Curdlan02222016_ATCACG_L004Log.final.out:,Uniquely,91.82%
UW001LPS02222016_CGATGT_L004Log.final.out:,Uniquely,91.70%
UW001NT03032016_TTAGGC_L004Log.final.out:,Uniquely,89.37%
UW025Curdlan_CGATGT_L007Log.final.out:,Uniquely,86.00%
UW025LPS_TTAGGC_L007Log.final.out:,Uniquely,74.63%
UW025NT_ATCACG_L007Log.final.out:,Uniquely,88.97%
UW026Curdlan_ACAGTG_L007Log.final.out:,Uniquely,84.45%
UW026LPS_GCCAAT_L007Log.final.out:,Uniquely,90.65%
UW026NT_TGACCA_L007Log.final.out:,Uniquely,89.28%
UW038Curdlan_GTCCGC_L005Log.final.out:,Uniquely,87.97%
UW038LPS_GTGGCC_L004Log.final.out:,Uniquely,89.42%
UW039Curdlan_GTTTCG_L003Log.final.out:,Uniquely,89.39%
UW039LPS_GTTTCG_L005Log.final.out:,Uniquely,23.64%
UW039NT_GTGGCC_L007Log.final.out:,Uniquely,88.76%
