FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
MC.AMD103448@0123890498,MC.AMD103448@0123890498,110775-01,110775-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103479@0123909165,MC.AMD103479@0123909165,102694-01,102694-01,UN,NA,0,0.0018,0.9982,0.9991,-1,0.999695,1,NA
MC.AMD103483@0124011226,MC.AMD103483@0124011226,144309-01,144309-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103506@0123890549,MC.AMD103506@0123890549,109851-01,109851-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103520@0124013703,MC.AMD103520@0124013703,124804-01,124804-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103526@0124010915,MC.AMD103526@0124010915,136058-01,136058-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103605@0123861186,MC.AMD103605@0123861186,138809-01,138809-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103606@0124011140,MC.AMD103606@0124011140,137397-01,137397-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103615@0123909390,MC.AMD103615@0123909390,129683-02,129683-02,UN,NA,0,0.3136,0.6864,0.8432,-1,0.946776,1,NA
MC.AMD103679@0123911371,MC.AMD103679@0123911371,124440-01,124440-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103680@0124011312,MC.AMD103680@0124011312,108513-01,108513-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103718@0123890721,MC.AMD103718@0123890721,106765-01,106765-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103719@0123908340,MC.AMD103719@0123908340,139505-01,139505-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103736@0123907400,MC.AMD103736@0123907400,101954-01,101954-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103744@0124011536,MC.AMD103744@0124011536,110112-01,110112-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103756@0123861529,MC.AMD103756@0123861529,128269-01,128269-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103790@0124009861,MC.AMD103790@0124009861,112569-01,112569-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103807@0123889283,MC.AMD103807@0123889283,113112-02,113112-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103861@0123910192,MC.AMD103861@0123910192,119864-01,119864-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103884@0123859597,MC.AMD103884@0123859597,122922-01,122922-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103896@0123890730,MC.AMD103896@0123890730,106546-01,106546-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103902@0123859641,MC.AMD103902@0123859641,130613-01,130613-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103905@0123861297,MC.AMD103905@0123861297,129683-02,129683-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103929@0124013454,MC.AMD103929@0124013454,132143-01,132143-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103959@0123890733,MC.AMD103959@0123890733,106477-01,106477-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103961@0123861209,MC.AMD103961@0123861209,125299-01,125299-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103968@0123861715,MC.AMD103968@0123861715,134306-01,134306-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103992@0123861856,MC.AMD103992@0123861856,123384-01,123384-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104005@0123909133,MC.AMD104005@0123909133,103195-01,103195-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104041@0123910859,MC.AMD104041@0123910859,119329-01,119329-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104173@0123905603,MC.AMD104173@0123905603,129029-01,129029-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104261@0123861620,MC.AMD104261@0123861620,120110-01,120110-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104264@0123909263,MC.AMD104264@0123909263,145674-01,145674-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104328@0124010980,MC.AMD104328@0124010980,104993-02,104993-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104343@0123861708,MC.AMD104343@0123861708,134453-01,134453-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104449@0123909232,MC.AMD104449@0123909232,146420-01,146420-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104492@0124014855,MC.AMD104492@0124014855,138349-01,138349-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104504@0123911541,MC.AMD104504@0123911541,131699-01,131699-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104606@0123908794,MC.AMD104606@0123908794,101280-01,101280-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104626@0124008387,MC.AMD104626@0124008387,134456-01,134456-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104680@0123861705,MC.AMD104680@0123861705,131177-01,131177-01,UN,NA,0,0.4137,0.5863,0.7932,-1,0.929787,1,NA
MC.AMD104684@0123861640,MC.AMD104684@0123861640,119786-02,119786-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104754@0123909042,MC.AMD104754@0123909042,120281-02,120281-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104764@0123909504,MC.AMD104764@0123909504,129602-01,129602-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104817@0123889736,MC.AMD104817@0123889736,127738-01,127738-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104876@0124009895,MC.AMD104876@0124009895,112074-01,112074-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104878@0124013680,MC.AMD104878@0124013680,139367-01,139367-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104903@0123861522,MC.AMD104903@0123861522,128663-02,128663-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104905@0123911402,MC.AMD104905@0123911402,123645-01,123645-01,UN,NA,0,0.0036,0.9964,0.9982,-1,0.999391,1,NA
MC.AMD104930@0124010965,MC.AMD104930@0124010965,134426-01,134426-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104949@0123861510,MC.AMD104949@0123861510,129089-01,129089-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD104964@0124010021,MC.AMD104964@0124010021,142491-02,142491-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105007@0123908428,MC.AMD105007@0123908428,149831-01,149831-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105022@0123861409,MC.AMD105022@0123861409,102406-01,102406-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105023@0123861298,MC.AMD105023@0123861298,129728-01,129728-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105052@0123889317,MC.AMD105052@0123889317,114190-02,114190-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105067@0124013432,MC.AMD105067@0124013432,141012-02,141012-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105091@0123890461,MC.AMD105091@0123890461,108209-01,108209-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105094@0123909202,MC.AMD105094@0123909202,102255-01,102255-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105131@0123861030,MC.AMD105131@0123861030,122853-01,122853-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105154@0123861657,MC.AMD105154@0123861657,119272-01,119272-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105224@0123861024,MC.AMD105224@0123861024,122589-02,122589-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105256@0123910870,MC.AMD105256@0123910870,119332-01,119332-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105299@0123908742,MC.AMD105299@0123908742,101720-01,101720-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105333@0124011314,MC.AMD105333@0124011314,108813-01,108813-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105356@0124015192,MC.AMD105356@0124015192,158090-01,158090-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105456@0123861797,MC.AMD105456@0123861797,124452-01,124452-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105483@0123911482,MC.AMD105483@0123911482,114052-01,114052-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105557@0123890360,MC.AMD105557@0123890360,101157-01,101157-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105586@0123911599,MC.AMD105586@0123911599,130271-01,130271-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105635@0123889462,MC.AMD105635@0123889462,113857-01,113857-01,UN,NA,0,0.0036,0.9964,0.9982,-1,0.999388,1,NA
MC.AMD105641@0124010959,MC.AMD105641@0124010959,134585-01,134585-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105663@0123861719,MC.AMD105663@0123861719,134279-01,134279-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105783@0124011161,MC.AMD105783@0124011161,136794-01,136794-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105788@0124013386,MC.AMD105788@0124013386,150257-01,150257-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105829@0124011389,MC.AMD105829@0124011389,106846-01,106846-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105885@0124011218,MC.AMD105885@0124011218,144105-01,144105-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD105934@0123890441,MC.AMD105934@0123890441,108507-01,108507-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106010@0124013742,MC.AMD106010@0124013742,102823-01,102823-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106051@0123909321,MC.AMD106051@0123909321,144081-01,144081-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106176@0123911570,MC.AMD106176@0123911570,130538-01,130538-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106249@0123890211,MC.AMD106249@0123890211,104870-01,104870-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106252@0123890674,MC.AMD106252@0123890674,111531-01,111531-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106315@0123861269,MC.AMD106315@0123861269,130286-01,130286-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106447@0123890910,MC.AMD106447@0123890910,115663-01,115663-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106523@0123861530,MC.AMD106523@0123861530,128302-01,128302-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106601@0123859604,MC.AMD106601@0123859604,124005-01,124005-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106621@0123908265,MC.AMD106621@0123908265,141414-01,141414-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106628@0123861076,MC.AMD106628@0123861076,121109-02,121109-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106687@0123911498,MC.AMD106687@0123911498,113884-01,113884-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106775@0123908960,MC.AMD106775@0123908960,149414-01,149414-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106892@0123909103,MC.AMD106892@0123909103,110502-01,110502-01,UN,NA,0,0.0018,0.9982,0.9991,-1,0.999695,1,NA
MC.AMD106901@0123909528,MC.AMD106901@0123909528,129050-02,129050-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD106957@0123861105,MC.AMD106957@0123861105,120755-01,120755-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107000@0123909230,MC.AMD107000@0123909230,146447-01,146447-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107228@0123889731,MC.AMD107228@0123889731,110316-01,110316-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107359@0123909175,MC.AMD107359@0123909175,102436-01,102436-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107479@0123889774,MC.AMD107479@0123889774,113941-02,113941-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107784@0123909881,MC.AMD107784@0123909881,120185-02,120185-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107814@0123909134,MC.AMD107814@0123909134,103189-01,103189-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107960@0123911223,MC.AMD107960@0123911223,116092-02,116092-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD107963@0123861299,MC.AMD107963@0123861299,129734-01,129734-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108103@0123861318,MC.AMD108103@0123861318,123063-01,123063-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108121@0123889371,MC.AMD108121@0123889371,129119-01,129119-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108127@0123890943,MC.AMD108127@0123890943,114808-01,114808-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108130@0123907200,MC.AMD108130@0123907200,149894-01,149894-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108147@0124010032,MC.AMD108147@0124010032,142095-01,142095-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108158@0123861536,MC.AMD108158@0123861536,128431-01,128431-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108169@0124008462,MC.AMD108169@0124008462,104042-02,104042-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108223@0123861518,MC.AMD108223@0123861518,128876-01,128876-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108347@0123909139,MC.AMD108347@0123909139,103012-01,103012-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108353@0123890810,MC.AMD108353@0123890810,151541-01,151541-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108389@0123911441,MC.AMD108389@0123911441,115135-01,115135-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108541@0124013664,MC.AMD108541@0124013664,143199-01,143199-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108585@0124010172,MC.AMD108585@0124010172,147083-01,147083-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108595@0123859596,MC.AMD108595@0123859596,117361-01,117361-01,UN,NA,0,0.2615,0.7385,0.8693,-1,0.955623,1,NA
MC.AMD108770@0123889502,MC.AMD108770@0123889502,112710-01,112710-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108802@0123911377,MC.AMD108802@0123911377,124215-01,124215-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108834@0123908736,MC.AMD108834@0123908736,101738-01,101738-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD108872@0123861340,MC.AMD108872@0123861340,117754-01,117754-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109012@0123908403,MC.AMD109012@0123908403,151882-01,151882-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109023@0123889998,MC.AMD109023@0123889998,109686-01,109686-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109103@0123889432,MC.AMD109103@0123889432,112605-01,112605-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109144@0123890564,MC.AMD109144@0123890564,109584-02,109584-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109192@0123889420,MC.AMD109192@0123889420,112701-02,112701-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109222@0123861728,MC.AMD109222@0123861728,134225-01,134225-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109238@0123909158,MC.AMD109238@0123909158,102787-01,102787-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109331@0123859607,MC.AMD109331@0123859607,118372-01,118372-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109352@0123908416,MC.AMD109352@0123908416,150932-01,150932-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109362@0123861763,MC.AMD109362@0123861763,133130-01,133130-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109578@0123890881,MC.AMD109578@0123890881,116239-01,116239-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109681@0123890336,MC.AMD109681@0123890336,111249-01,111249-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109706@0124009828,MC.AMD109706@0124009828,113232-01,113232-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109744@0123909304,MC.AMD109744@0123909304,144288-01,144288-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109860@0123909798,MC.AMD109860@0123909798,122049-01,122049-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109871@0124011112,MC.AMD109871@0124011112,111249-01,111249-01,UN,NA,0,0.1468,0.8532,0.9266,-1,0.975076,1,NA
MC.AMD109885@0123861102,MC.AMD109885@0123861102,121001-01,121001-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109913@0123909064,MC.AMD109913@0123909064,117256-01,117256-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD109980@0124009865,MC.AMD109980@0124009865,112539-02,112539-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110009@0123861497,MC.AMD110009@0123861497,124831-01,124831-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110165@0123909199,MC.AMD110165@0123909199,102147-01,102147-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110251@0123909099,MC.AMD110251@0123909099,109632-01,109632-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110256@0123889758,MC.AMD110256@0123889758,118396-01,118396-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110281@0124011051,MC.AMD110281@0124011051,103594-02,103594-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110283@0124011238,MC.AMD110283@0124011238,143661-01,143661-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110359@0123911508,MC.AMD110359@0123911508,113965-01,113965-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110369@0123890917,MC.AMD110369@0123890917,115393-01,115393-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110373@0123861419,MC.AMD110373@0123861419,125215-01,125215-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110390@0123908376,MC.AMD110390@0123908376,154208-01,154208-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110547@0124014867,MC.AMD110547@0124014867,137857-01,137857-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110585@0124010909,MC.AMD110585@0124010909,135863-01,135863-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110602@0123909802,MC.AMD110602@0123909802,121562-01,121562-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110636@0123909521,MC.AMD110636@0123909521,129476-01,129476-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110702@0123861315,MC.AMD110702@0123861315,122439-01,122439-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110711@0124014903,MC.AMD110711@0124014903,136944-01,136944-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110727@0123889356,MC.AMD110727@0123889356,135094-01,135094-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110745@0123909061,MC.AMD110745@0123909061,117604-01,117604-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110770@0123861272,MC.AMD110770@0123861272,130403-02,130403-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110773@0123861344,MC.AMD110773@0123861344,118306-01,118306-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110789@0124011137,MC.AMD110789@0124011137,137454-01,137454-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110855@0123861773,MC.AMD110855@0123861773,132710-01,132710-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110860@0124010985,MC.AMD110860@0124010985,105131-01,105131-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110914@0123889349,MC.AMD110914@0123889349,137049-01,137049-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110951@0123908853,MC.AMD110951@0123908853,148871-01,148871-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD110972@0123909294,MC.AMD110972@0123909294,116092-02,116092-02,UN,NA,0,0.4835,0.5165,0.7582,-1,0.917933,1,NA
MC.AMD111062@0124013717,MC.AMD111062@0124013717,116485-01,116485-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111066@0123861357,MC.AMD111066@0123861357,117220-01,117220-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111100@0123860977,MC.AMD111100@0123860977,135701-01,135701-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111102@0124013687,MC.AMD111102@0124013687,135698-01,135698-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111309@0123909809,MC.AMD111309@0123909809,121727-01,121727-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111315@0123889306,MC.AMD111315@0123889306,117061-01,117061-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111392@0123908864,MC.AMD111392@0123908864,148648-01,148648-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111417@0123909220,MC.AMD111417@0123909220,146552-01,146552-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111469@0124011539,MC.AMD111469@0124011539,110124-01,110124-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111480@0123909065,MC.AMD111480@0123909065,116857-01,116857-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111619@0123890492,MC.AMD111619@0123890492,107432-01,107432-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111665@0123890851,MC.AMD111665@0123890851,149840-01,149840-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111695@0124013700,MC.AMD111695@0124013700,125068-01,125068-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111746@0123890884,MC.AMD111746@0123890884,116044-01,116044-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111750@0123890324,MC.AMD111750@0123890324,112023-01,112023-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111803@0123889425,MC.AMD111803@0123889425,113364-01,113364-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111812@0124010126,MC.AMD111812@0124010126,148682-01,148682-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111852@0123890425,MC.AMD111852@0123890425,108765-01,108765-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111882@0123861204,MC.AMD111882@0123861204,128170-01,128170-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111892@0123890259,MC.AMD111892@0123890259,104132-01,104132-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111893@0123889510,MC.AMD111893@0123889510,151957-01,151957-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111915@0123861562,MC.AMD111915@0123861562,128035-01,128035-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111918@0123861079,MC.AMD111918@0123861079,121529-01,121529-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111922@0123890821,MC.AMD111922@0123890821,151229-01,151229-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111953@0123861863,MC.AMD111953@0123861863,123246-01,123246-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111972@0124011206,MC.AMD111972@0124011206,148309-01,148309-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD111979@0123908298,MC.AMD111979@0123908298,140414-01,140414-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112001@0123861073,MC.AMD112001@0123861073,121436-01,121436-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112079@0123911433,MC.AMD112079@0123911433,109467-01,109467-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112121@0123911144,MC.AMD112121@0123911144,118048-02,118048-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112152@0124010132,MC.AMD112152@0124010132,148018-01,148018-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112163@0124010131,MC.AMD112163@0124010131,148309-01,148309-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112179@0123889921,MC.AMD112179@0123889921,158002-01,158002-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112207@0123909246,MC.AMD112207@0123909246,146088-01,146088-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112227@0123910505,MC.AMD112227@0123910505,131756-01,131756-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112284@0123909335,MC.AMD112284@0123909335,143562-01,143562-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112292@0124013429,MC.AMD112292@0124013429,137908-02,137908-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112335@0123861618,MC.AMD112335@0123861618,120008-01,120008-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112415@0123861569,MC.AMD112415@0123861569,127581-01,127581-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112423@0123911709,MC.AMD112423@0123911709,125326-01,125326-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112481@0123908805,MC.AMD112481@0123908805,101085-01,101085-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112656@0123861043,MC.AMD112656@0123861043,122391-01,122391-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112668@0123861319,MC.AMD112668@0123861319,123294-01,123294-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112677@0123911653,MC.AMD112677@0123911653,126541-02,126541-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112801@0123909097,MC.AMD112801@0123909097,109332-01,109332-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112885@0124015193,MC.AMD112885@0124015193,150593-01,150593-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112903@0123908777,MC.AMD112903@0123908777,101365-01,101365-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112907@0123861441,MC.AMD112907@0123861441,126403-01,126403-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD112961@0123889487,MC.AMD112961@0123889487,112734-01,112734-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113022@0123861273,MC.AMD113022@0123861273,130421-01,130421-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113093@0123890919,MC.AMD113093@0123890919,114061-01,114061-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113110@0123907223,MC.AMD113110@0123907223,140970-01,140970-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113185@0123890554,MC.AMD113185@0123890554,109995-02,109995-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113190@0123911322,MC.AMD113190@0123911322,122223-01,122223-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113217@0123909092,MC.AMD113217@0123909092,111672-01,111672-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113306@0124011045,MC.AMD113306@0124011045,103636-01,103636-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113320@0123909128,MC.AMD113320@0123909128,103321-02,103321-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD113459@0123910515,MC.AMD113459@0123910515,132956-01,132956-01,UN,NA,0,0,1,1,-1,1,1,NA
