FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
MC.AMD135698@0123861089,MC.AMD135698@0123861089,121304-01,121304-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD135765@0123860936,MC.AMD135765@0123860936,156157-01,156157-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD135791@0123861168,MC.AMD135791@0123861168,141213-01,141213-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD135868@0123909543,MC.AMD135868@0123909543,128990-01,128990-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136015@0123890432,MC.AMD136015@0123890432,108582-01,108582-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136117@0123860930,MC.AMD136117@0123860930,156664-01,156664-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136133@0124011011,MC.AMD136133@0124011011,104672-01,104672-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136159@0123908425,MC.AMD136159@0123908425,149858-01,149858-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136160@0123908424,MC.AMD136160@0123908424,149855-01,149855-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136357@0123911518,MC.AMD136357@0123911518,113385-01,113385-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136440@0123889947,MC.AMD136440@0123889947,156463-01,156463-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136462@0123890841,MC.AMD136462@0123890841,150614-01,150614-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136467@0123909830,MC.AMD136467@0123909830,121487-01,121487-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136517@0123889939,MC.AMD136517@0123889939,154377-01,154377-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136562@0123860937,MC.AMD136562@0123860937,156297-01,156297-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136821@0124013714,MC.AMD136821@0124013714,115081-01,115081-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136833@0123911607,MC.AMD136833@0123911607,130070-01,130070-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136889@0123861692,MC.AMD136889@0123861692,118528-01,118528-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD136940@0124010933,MC.AMD136940@0124010933,135061-01,135061-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137059@0123890826,MC.AMD137059@0123890826,151238-01,151238-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137114@0123890784,MC.AMD137114@0123890784,153692-01,153692-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137196@0123890790,MC.AMD137196@0123890790,154283-01,154283-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137259@0123908365,MC.AMD137259@0123908365,156324-01,156324-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137331@0123889805,MC.AMD137331@0123889805,157586-01,157586-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137338@0123889814,MC.AMD137338@0123889814,157103-01,157103-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137448@0123889966,MC.AMD137448@0123889966,159412-01,159412-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137554@0124015162,MC.AMD137554@0124015162,113301-01,113301-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137613@0124014221,MC.AMD137613@0124014221,120671-01,120671-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137614@0124014196,MC.AMD137614@0124014196,146516-01,146516-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137622@0124014222,MC.AMD137622@0124014222,121598-01,121598-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137626@0124015121,MC.AMD137626@0124015121,144096-01,144096-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137630@0124014229,MC.AMD137630@0124014229,120476-01,120476-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD137634@0124014212,MC.AMD137634@0124014212,131861-01,131861-01,UN,NA,0,0,1,1,-1,1,1,NA
