FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
MC.154596@1075678759,MC.154596@1075678759,89566,89566,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.154721@1075641872,MC.154721@1075641872,89643,89643,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.155172@1075690959,MC.155172@1075690959,89954,89954,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.155397@1075641582,MC.155397@1075641582,90132,90132,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.155479@1076254320,MC.155479@1076254320,90206,90206,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.155613@1075678940,MC.155613@1075678940,90302,90302,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.155705@1076253441,MC.155705@1076253441,90389,90389,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.156039@1075680531,MC.156039@1075680531,90660,90660,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999957,1,NA
MC.156271@1075641533,MC.156271@1075641533,90837,90837,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.157104@1075690906,MC.157104@1075690906,91399,91399,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.157123@1075680344,MC.157123@1075680344,91421,91421,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.157652@1075677185,MC.157652@1075677185,89579,89579,UN,NA,0,0,1,1,-1,0.999983,1,3832
MC.159637@1075680627,MC.159637@1075680627,90548,90548,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.159741@1075690463,MC.159741@1075690463,90581,90581,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.160290@1075641559,MC.160290@1075641559,89769,89769,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100002@0123890390,MC.AMD100002@0123890390,89757,89757,UN,NA,0,0,1,1,-1,0.999974,1,NA
